Step,Reconstruction Loss,KL Loss,Uniformity Loss,Orthogonality Loss,Total Loss,Time,Entropy,Margin,0 Fraction,1 Fraction
1,13656.9208984375,7844.5126953125,4.8147873878479,1.8420109748840332,21501.43359375,0.01558065414428711,0.21095110476016998,0.1252737045288086,0.71875,0.28125
2,34644.21875,8133.607421875,3.58040714263916,59.35102462768555,42777.826171875,0.013587713241577148,0.22107180953025818,0.14616923034191132,0.765625,0.234375
3,51063.109375,8131.59228515625,2.7035233974456787,162.548583984375,59194.70166015625,0.015677690505981445,0.20137330889701843,0.12469443678855896,0.8515625,0.1484375
4,111879.9921875,8964.3828125,2.3143458366394043,114.10562133789062,120844.375,0.014226675033569336,0.20942023396492004,0.12147235125303268,0.8671875,0.1328125
5,183207.5625,9959.568359375,2.144794225692749,108.33207702636719,193167.130859375,0.014205694198608398,0.24350765347480774,0.15239202976226807,0.8984375,0.1015625
6,316155.9375,12277.939453125,2.707026243209839,43.00848388671875,328433.876953125,0.013486385345458984,0.3168566823005676,0.21212691068649292,0.8515625,0.1484375
7,446589.4375,13888.138671875,3.4790632724761963,80.35818481445312,460477.576171875,0.013809442520141602,0.389104425907135,0.23845185339450836,0.828125,0.171875
8,566084.5,18751.662109375,4.075124740600586,42.11221694946289,584836.162109375,0.014083147048950195,0.5044946670532227,0.32881879806518555,0.8046875,0.1953125
9,576480.75,26296.421875,4.447105884552002,42.27479553222656,602777.171875,0.015514612197875977,0.5784496068954468,0.3923106789588928,0.7734375,0.2265625
10,620982.9375,86447.28125,4.763350486755371,43.60087966918945,707430.21875,0.013382196426391602,0.6488944292068481,0.47096550464630127,0.8046875,0.1953125
11,618258.875,47524.25390625,5.21749210357666,20.034774780273438,665783.12890625,0.013817548751831055,0.7079160213470459,0.5072817802429199,0.796875,0.203125
12,611295.5,2919286.5,5.704220294952393,55.31003189086914,3530582.0,0.014288663864135742,0.754568338394165,0.5694373250007629,0.75,0.25
13,602203.875,22748782.0,6.1893086433410645,nan,23350985.875,0.014125347137451172,0.8021217584609985,0.6225752830505371,0.71875,0.28125
14,581826.875,7098633551872.0,6.608913421630859,nan,7098634133698.875,0.015236139297485352,0.8362571001052856,0.6648775935173035,0.6484375,0.3515625
15,nan,nan,6.947662830352783,nan,nan,0.014134407043457031,0.8518966436386108,0.6914346814155579,0.6328125,0.3671875
16,nan,nan,nan,nan,nan,0.013993978500366211,nan,nan,1.0,0.0
17,nan,nan,nan,nan,nan,0.013790607452392578,nan,nan,1.0,0.0
18,nan,nan,nan,nan,nan,0.013319969177246094,nan,nan,1.0,0.0
19,nan,nan,nan,nan,nan,0.013849020004272461,nan,nan,1.0,0.0
20,nan,nan,nan,nan,nan,0.014147043228149414,nan,nan,1.0,0.0
21,nan,nan,nan,nan,nan,0.014471292495727539,nan,nan,1.0,0.0
22,nan,nan,nan,nan,nan,0.013482093811035156,nan,nan,1.0,0.0
23,nan,nan,nan,nan,nan,0.013796567916870117,nan,nan,1.0,0.0
24,nan,nan,nan,nan,nan,0.01472020149230957,nan,nan,1.0,0.0
25,nan,nan,nan,nan,nan,0.014444112777709961,nan,nan,1.0,0.0
26,nan,nan,nan,nan,nan,0.01324152946472168,nan,nan,1.0,0.0
27,nan,nan,nan,nan,nan,0.015099763870239258,nan,nan,1.0,0.0
28,nan,nan,nan,nan,nan,0.013728618621826172,nan,nan,1.0,0.0
29,nan,nan,nan,nan,nan,0.014096498489379883,nan,nan,1.0,0.0
30,nan,nan,nan,nan,nan,0.014428138732910156,nan,nan,1.0,0.0
31,nan,nan,nan,nan,nan,0.01437830924987793,nan,nan,1.0,0.0
32,nan,nan,nan,nan,nan,0.014571905136108398,nan,nan,1.0,0.0
33,nan,nan,nan,nan,nan,0.013909578323364258,nan,nan,1.0,0.0
34,nan,nan,nan,nan,nan,0.014106512069702148,nan,nan,1.0,0.0
35,nan,nan,nan,nan,nan,0.015313386917114258,nan,nan,1.0,0.0
36,nan,nan,nan,nan,nan,0.013337850570678711,nan,nan,1.0,0.0
37,nan,nan,nan,nan,nan,0.015724897384643555,nan,nan,1.0,0.0
38,nan,nan,nan,nan,nan,0.013303995132446289,nan,nan,1.0,0.0
39,nan,nan,nan,nan,nan,0.014415264129638672,nan,nan,1.0,0.0
40,nan,nan,nan,nan,nan,0.015128850936889648,nan,nan,1.0,0.0
41,nan,nan,nan,nan,nan,0.013996362686157227,nan,nan,1.0,0.0
42,nan,nan,nan,nan,nan,0.013371944427490234,nan,nan,1.0,0.0
43,nan,nan,nan,nan,nan,0.015491485595703125,nan,nan,1.0,0.0
44,nan,nan,nan,nan,nan,0.013699054718017578,nan,nan,1.0,0.0
45,nan,nan,nan,nan,nan,0.014227628707885742,nan,nan,1.0,0.0
46,nan,nan,nan,nan,nan,0.013486862182617188,nan,nan,1.0,0.0
47,nan,nan,nan,nan,nan,0.01459813117980957,nan,nan,1.0,0.0
48,nan,nan,nan,nan,nan,0.014081478118896484,nan,nan,1.0,0.0
49,nan,nan,nan,nan,nan,0.015155792236328125,nan,nan,1.0,0.0
50,nan,nan,nan,nan,nan,0.015842437744140625,nan,nan,1.0,0.0
51,nan,nan,nan,nan,nan,0.01470494270324707,nan,nan,1.0,0.0
52,nan,nan,nan,nan,nan,0.013944387435913086,nan,nan,1.0,0.0
53,nan,nan,nan,nan,nan,0.014141559600830078,nan,nan,1.0,0.0
54,nan,nan,nan,nan,nan,0.013659238815307617,nan,nan,1.0,0.0
55,nan,nan,nan,nan,nan,0.015079259872436523,nan,nan,1.0,0.0
56,nan,nan,nan,nan,nan,0.013777017593383789,nan,nan,1.0,0.0
57,nan,nan,nan,nan,nan,0.014423608779907227,nan,nan,1.0,0.0
58,nan,nan,nan,nan,nan,0.013179302215576172,nan,nan,1.0,0.0
59,nan,nan,nan,nan,nan,0.013668060302734375,nan,nan,1.0,0.0
60,nan,nan,nan,nan,nan,0.013643980026245117,nan,nan,1.0,0.0
61,nan,nan,nan,nan,nan,0.014642000198364258,nan,nan,1.0,0.0
62,nan,nan,nan,nan,nan,0.013223886489868164,nan,nan,1.0,0.0
63,nan,nan,nan,nan,nan,0.014752388000488281,nan,nan,1.0,0.0
