Step,Update,Next Update Number,Next Update,Method,Reconstruction Loss,KL Loss,Uniformity Loss,Orthogonality Loss,Total Loss,Gradient Dot Product,Retain Gradient Norm,Forget Gradient Norm,Cosine Similarity,Mean 1 Probability,1 - Mean 1 Probability,Time,0 Fraction,1 Fraction,2 Fraction,3 Fraction,4 Fraction,5 Fraction,6 Fraction,7 Fraction,8 Fraction,9 Fraction,1 - Fraction
10,UNO,11.0,UNO,UNO,82850.4453125,1661.6568603515625,1.2345216274261475,0.09078768640756607,132817.546875,2940865280.0,94488.53125,103295.7734375,0.3013099431991577,0.07461300492286682,0.9253870248794556,0.01538216698099859,0.09375,0.0703125,0.09375,0.140625,0.1328125,0.0,0.0859375,0.0625,0.2265625,0.09375,0.9296875
11,UNO,12.0,UNO,UNO,83559.0859375,1689.432861328125,1.2348872423171997,0.06758653372526169,110554.375,2284608256.0,89426.3203125,98268.953125,0.25997409224510193,0.07440873980522156,0.925591230392456,0.014722166990395635,0.0859375,0.0625,0.09375,0.125,0.1328125,0.0,0.0859375,0.0546875,0.2578125,0.1015625,0.9375
12,UNO,13.0,UNO,UNO,84370.5390625,1715.1649169921875,1.240334153175354,0.048439111560583115,92499.375,1719018368.0,87600.3359375,89161.3515625,0.2200888693332672,0.07455438375473022,0.9254456162452698,0.03365083399694413,0.0859375,0.0625,0.09375,0.125,0.1328125,0.0,0.0859375,0.0546875,0.2578125,0.1015625,0.9375
13,UNO,14.0,UNO,UNO,85191.6640625,1740.02392578125,1.2495579719543457,0.03417981043457985,79249.8359375,1235284992.0,84348.5859375,79214.4765625,0.18487782776355743,0.07498400658369064,0.9250159859657288,0.016092333011329174,0.0859375,0.0625,0.09375,0.109375,0.1328125,0.0,0.078125,0.0546875,0.28125,0.1015625,0.9375
14,UNO,15.0,UNO,UNO,85849.75,1764.5048828125,1.2646549940109253,0.021594706922769547,67661.515625,817191296.0,80944.0234375,68701.34375,0.14695137739181519,0.07584404200315475,0.9241559505462646,0.01737808302277699,0.0859375,0.0703125,0.09375,0.109375,0.140625,0.0,0.078125,0.0546875,0.2734375,0.09375,0.9296875
15,UNO,16.0,UNO,UNO,87051.6171875,1788.899169921875,1.2821627855300903,0.018913298845291138,66093.65625,675297920.0,77684.5859375,63208.703125,0.13752563297748566,0.07690423727035522,0.9230957627296448,0.015324874984798953,0.0859375,0.0859375,0.09375,0.109375,0.15625,0.0,0.078125,0.0546875,0.2578125,0.078125,0.9140625
16,UNO,17.0,UNO,UNO,87841.8125,1812.24609375,1.2981246709823608,0.012758217751979828,60762.30078125,486205120.0,77620.421875,55456.0,0.11295227706432343,0.07790745049715042,0.9220925569534302,0.015084416983881965,0.0859375,0.09375,0.09375,0.1015625,0.15625,0.0,0.0859375,0.0546875,0.25,0.078125,0.90625
17,UNO,18.0,UNO,UNO,88727.625,1834.5892333984375,1.308503270149231,0.014998672530055046,63890.8203125,473931616.0,76155.5859375,50814.49609375,0.12246906757354736,0.07857586443424225,0.921424150466919,0.01579408298130147,0.0703125,0.0859375,0.09375,0.1015625,0.1484375,0.0,0.1015625,0.0546875,0.265625,0.078125,0.9140625
18,UNO,19.0,UNO,UNO,89425.046875,1856.440185546875,1.314170479774475,0.009007642976939678,58558.9140625,354280640.0,79301.8203125,47071.5703125,0.09490860253572464,0.07895682007074356,0.9210431575775146,0.015154041000641882,0.0703125,0.078125,0.09375,0.1015625,0.1484375,0.0,0.09375,0.0546875,0.2734375,0.0859375,0.921875
19,UNO,20.0,UNO,UNO,90567.234375,1877.0205078125,1.3151118755340576,0.006727977190166712,57096.578125,288899264.0,79318.453125,44404.80078125,0.08202424645423889,0.07903876900672913,0.9209612607955933,0.014461291983025149,0.0703125,0.0703125,0.09375,0.109375,0.1484375,0.0,0.0859375,0.0546875,0.2890625,0.078125,0.9296875
