Step,Update,Next Update Number,Next Update,Method,Reconstruction Loss,KL Loss,Uniformity Loss,Orthogonality Loss,Total Loss,Gradient Dot Product,Retain Gradient Norm,Forget Gradient Norm,Cosine Similarity,Absolute Cosine Similarity,Full Dataset Gradient Dot Product,Full Dataset Retain Gradient Norm,Full Dataset Forget Gradient Norm,Full Dataset Cosine Similarity,Absolute Full Dataset Cosine Similarity,Mean 1 Probability,1 - Mean 1 Probability,Time,0 Fraction,1 Fraction,2 Fraction,3 Fraction,4 Fraction,5 Fraction,6 Fraction,7 Fraction,8 Fraction,9 Fraction,1 - Fraction
0,None (initial state),1.0,UNO,UNO-S,46574.9921875,1483.72216796875,0.7663294076919556,0.0038297255523502827,22693.375,-86540464.0,19739.04296875,70845.015625,-0.06188477575778961,0.06188477575778961,7383.72265625,116.76532745361328,117.35769653320312,0.5388277173042297,0.5388277173042297,0.04588319733738899,0.9541168212890625,1.0444756659853738,0.078125,0.0625,0.1015625,0.1328125,0.09375,0.015625,0.125,0.0703125,0.2109375,0.109375,0.9375
1,UNO,2.0,Surgery,UNO-S,48098.22265625,1479.15576171875,0.6356833577156067,0.01146842073649168,23044.259765625,-212461200.0,26750.734375,74163.8203125,-0.10709071159362793,0.10709071159362793,148601.484375,802.9813842773438,349.7120361328125,0.5291844010353088,0.5291844010353088,0.03778979927301407,0.9622101783752441,0.9342910000123084,0.078125,0.046875,0.1015625,0.1328125,0.0859375,0.0234375,0.125,0.0703125,0.21875,0.1171875,0.953125
2,Surgery,3.0,UNO,UNO-S,50716.46875,1473.576416015625,0.5324748754501343,0.02312585338950157,24718.451171875,184910608.0,22695.162109375,53577.15625,0.15207186341285706,0.15207186341285706,219395.125,828.970458984375,461.5299377441406,0.5734400153160095,0.5734400153160095,0.03125851973891258,0.9687414765357971,1.0171215840091463,0.078125,0.0390625,0.1015625,0.125,0.0859375,0.0234375,0.125,0.0703125,0.2265625,0.125,0.9609375
3,UNO,4.0,Surgery,UNO-S,51676.33203125,1478.4176025390625,0.5216472744941711,0.11942572891712189,23793.7890625,547157376.0,25430.681640625,62259.4375,0.3455802798271179,0.3455802798271179,191361.25,796.0576782226562,510.49285888671875,0.4708904027938843,0.4708904027938843,0.0311603881418705,0.9688395857810974,0.9807425829931162,0.078125,0.0390625,0.1015625,0.1171875,0.1171875,0.0234375,0.1328125,0.0703125,0.21875,0.1015625,0.9609375
4,Surgery,5.0,UNO,UNO-S,50769.703125,1462.3994140625,0.5138199925422668,0.005458448547869921,22811.166015625,151233936.0,33029.80078125,61973.890625,0.07388131320476532,0.07388131320476532,226034.828125,798.4266357421875,606.6737060546875,0.46664345264434814,0.46664345264434814,0.03092040866613388,0.9690796136856079,0.9790897910133936,0.1015625,0.0390625,0.1015625,0.125,0.125,0.015625,0.1171875,0.0703125,0.2109375,0.09375,0.9609375
5,UNO,6.0,Surgery,UNO-S,56759.44921875,1447.55908203125,0.5314579010009766,0.0003784008149523288,25027.6640625,-23635624.0,17315.271484375,70171.65625,-0.019452527165412903,0.019452527165412903,200689.25,750.7296142578125,564.96875,0.47316882014274597,0.47316882014274597,0.03218792751431465,0.9678120613098145,0.9869761249865405,0.109375,0.046875,0.1015625,0.125,0.125,0.0078125,0.1171875,0.0703125,0.203125,0.09375,0.953125
6,Surgery,7.0,UNO,UNO-S,52071.29296875,1455.91845703125,0.511459231376648,0.03781505301594734,22354.712890625,-292240672.0,18693.552734375,80392.671875,-0.194460928440094,0.194460928440094,132975.328125,671.1350708007812,489.00115966796875,0.40518298745155334,0.40518298745155334,0.030759494751691818,0.9692404866218567,0.9377233329869341,0.109375,0.046875,0.109375,0.125,0.125,0.0078125,0.109375,0.0703125,0.203125,0.09375,0.953125
7,UNO,8.0,Surgery,UNO-S,52509.47265625,1441.619384765625,0.5150407552719116,0.059025440365076065,22304.35546875,373792768.0,21136.73046875,72790.2890625,0.24295151233673096,0.24295151233673096,100746.6640625,628.3012084960938,482.94415283203125,0.33202123641967773,0.33202123641967773,0.031015146523714066,0.968984842300415,0.9292756250069942,0.109375,0.046875,0.109375,0.125,0.125,0.0078125,0.109375,0.0703125,0.1953125,0.1015625,0.953125
8,Surgery,9.0,UNO,UNO-S,53221.2265625,1429.543701171875,0.5036786198616028,0.02157939039170742,22486.84375,-153283424.0,20489.36328125,50926.89453125,-0.1468992531299591,0.1468992531299591,108395.546875,682.0640258789062,518.3978881835938,0.3065653443336487,0.3065653443336487,0.030172154307365417,0.9698278307914734,0.9904460000107065,0.109375,0.046875,0.109375,0.125,0.125,0.0078125,0.109375,0.0703125,0.1953125,0.1015625,0.953125
9,UNO,10.0,Surgery,UNO-S,52871.515625,1416.83544921875,0.4894734025001526,0.026342883706092834,23160.205078125,253619264.0,20187.318359375,77405.53125,0.16230490803718567,0.16230490803718567,100887.421875,704.0155639648438,503.9405517578125,0.2843645513057709,0.2843645513057709,0.029174529016017914,0.9708254933357239,0.9164398339926265,0.1015625,0.046875,0.109375,0.125,0.125,0.015625,0.109375,0.0703125,0.1953125,0.1015625,0.953125
