Step,Update,Next Update Number,Next Update,Method,Reconstruction Loss,KL Loss,Uniformity Loss,Orthogonality Loss,Total Loss,Gradient Dot Product,Retain Gradient Norm,Forget Gradient Norm,Cosine Similarity,Absolute Cosine Similarity,Full Dataset Gradient Dot Product,Full Dataset Retain Gradient Norm,Full Dataset Forget Gradient Norm,Full Dataset Cosine Similarity,Absolute Full Dataset Cosine Similarity,Mean 1 Probability,1 - Mean 1 Probability,Time,0 Fraction,1 Fraction,2 Fraction,3 Fraction,4 Fraction,5 Fraction,6 Fraction,7 Fraction,8 Fraction,9 Fraction,1 - Fraction
10,UNO,11.0,UNO,UNO,51378.875,1436.943115234375,0.5603116750717163,0.0053215101361274,23899.46875,71535304.0,15009.2177734375,65334.8671875,0.0729486793279647,0.0729486793279647,101686.5546875,677.8558349609375,427.76416015625,0.3506887555122375,0.3506887555122375,0.0337023958563804,0.9662976264953612,1.0357367920223624,0.09375,0.0546875,0.1015625,0.140625,0.1171875,0.015625,0.1171875,0.0703125,0.1875,0.1015625,0.9453125
11,UNO,12.0,UNO,UNO,47799.125,1401.219970703125,0.5601343512535095,0.0153993899002671,21938.1484375,169034384.0,19352.98046875,70384.234375,0.1240942776203155,0.1240942776203155,90668.25,643.66748046875,417.2103576660156,0.3376281559467315,0.3376281559467315,0.0336605086922645,0.9663394689559937,1.0692201249767097,0.09375,0.0546875,0.1171875,0.1328125,0.1015625,0.015625,0.1171875,0.0703125,0.1796875,0.1171875,0.9453125
12,UNO,13.0,UNO,UNO,48944.3984375,1403.534423828125,0.5485578775405884,0.0184681881219148,22722.009765625,-183987056.0,24874.599609375,54427.57421875,-0.1358977109193802,0.1358977109193802,104835.0625,659.3168334960938,457.1983947753906,0.3477824628353119,0.3477824628353119,0.032772522419691,0.9672274589538574,0.924636832991382,0.09375,0.0546875,0.1171875,0.1328125,0.09375,0.015625,0.1171875,0.0703125,0.1796875,0.125,0.9453125
13,UNO,14.0,UNO,UNO,50261.734375,1401.676513671875,0.5436397194862366,0.0184463132172822,23081.115234375,287178112.0,33001.421875,64071.3671875,0.1358171999454498,0.1358171999454498,127851.53125,708.5260009765625,516.2982177734375,0.3495018482208252,0.3495018482208252,0.0324158407747745,0.9675841331481934,0.9139769159955904,0.0859375,0.0546875,0.1171875,0.1328125,0.09375,0.015625,0.1171875,0.0703125,0.1875,0.125,0.9453125
14,UNO,15.0,UNO,UNO,46726.3046875,1391.159423828125,0.5409014821052551,0.0674723163247108,21977.681640625,-265991072.0,22287.376953125,45945.75390625,-0.259754329919815,0.259754329919815,129069.3828125,751.9978637695312,512.8460693359375,0.3346720933914184,0.3346720933914184,0.0323009341955184,0.9676990509033204,0.9889340419904328,0.09375,0.046875,0.1171875,0.1328125,0.0859375,0.0234375,0.109375,0.0703125,0.1875,0.1328125,0.953125
15,UNO,16.0,UNO,UNO,47267.8828125,1398.04541015625,0.5383239984512329,0.0824281871318817,21489.98828125,-299886944.0,26257.81640625,39779.6640625,-0.2871030867099762,0.2871030867099762,145148.0,837.9292602539062,538.159423828125,0.3218790888786316,0.3218790888786316,0.0322546660900116,0.967745304107666,0.9315464170067572,0.09375,0.046875,0.1171875,0.1328125,0.0859375,0.0234375,0.109375,0.0703125,0.1875,0.1328125,0.953125
16,UNO,17.0,UNO,UNO,47747.0703125,1376.675048828125,0.5522863864898682,0.0974417552351951,22090.927734375,-173671312.0,13108.177734375,42443.6953125,-0.312156617641449,0.312156617641449,162594.203125,934.7584228515624,550.4850463867188,0.3159804940223694,0.3159804940223694,0.0334783419966697,0.966521680355072,0.9218620409956202,0.09375,0.0546875,0.1171875,0.140625,0.09375,0.0234375,0.109375,0.0703125,0.171875,0.125,0.9453125
17,UNO,18.0,UNO,UNO,47574.2734375,1384.345703125,0.5525910258293152,0.0023626252077519,21539.2890625,-25826130.0,12856.7900390625,41326.578125,-0.0486068427562713,0.0486068427562713,167897.90625,997.3614501953124,529.1677856445312,0.3181261420249939,0.3181261420249939,0.0338024757802486,0.9661975502967834,0.9973209589952604,0.09375,0.0546875,0.1171875,0.140625,0.1015625,0.0234375,0.109375,0.0703125,0.171875,0.1171875,0.9453125
18,UNO,19.0,UNO,UNO,48817.01953125,1372.59716796875,0.5354254245758057,0.0201498065143823,21556.63671875,137317872.0,18733.64453125,51637.99609375,0.1419500112533569,0.1419500112533569,185397.96875,1060.45361328125,534.4879150390625,0.3270961046218872,0.3270961046218872,0.0328856110572814,0.9671143889427184,0.9305518329783808,0.09375,0.046875,0.1171875,0.140625,0.1015625,0.0234375,0.109375,0.0703125,0.1796875,0.1171875,0.953125
19,UNO,20.0,UNO,UNO,49096.5703125,1375.6993408203125,0.5124200582504272,0.0307813733816146,22532.703125,219870704.0,29583.068359375,42362.35546875,0.1754462122917175,0.1754462122917175,192773.34375,1047.477783203125,549.4884033203125,0.3349220156669616,0.3349220156669616,0.0314084030687809,0.968591570854187,0.957586666016141,0.09375,0.046875,0.1171875,0.140625,0.1015625,0.0234375,0.109375,0.0703125,0.1796875,0.1171875,0.953125
20,UNO,21.0,UNO,UNO,48343.87890625,1377.30517578125,0.4702659547328949,0.0359980911016464,22006.490234375,191583248.0,23144.123046875,43629.171875,0.189731627702713,0.189731627702713,197177.453125,1001.9755859375,551.7646484375,0.3566532433032989,0.3566532433032989,0.0285408534109592,0.971459150314331,1.0028238329978194,0.09375,0.0390625,0.109375,0.15625,0.1015625,0.0234375,0.109375,0.0703125,0.1796875,0.1171875,0.9609375
21,UNO,22.0,UNO,UNO,48240.71484375,1378.87646484375,0.4235001802444458,0.0021852767094969,22312.064453125,-35276416.0,20217.0390625,37326.19140625,-0.0467469431459903,0.0467469431459903,211109.46875,932.6099853515624,597.9129638671875,0.3785904943943023,0.3785904943943023,0.0252719260752201,0.9747280478477478,1.002915084012784,0.09375,0.0390625,0.109375,0.15625,0.1015625,0.0234375,0.109375,0.0703125,0.1796875,0.1171875,0.9609375
22,UNO,23.0,UNO,UNO,49519.2109375,1404.6373291015625,0.3902471959590912,0.0059773377142846,23093.3828125,-45725160.0,13971.146484375,42332.0546875,-0.0773132443428039,0.0773132443428039,226054.875,901.896728515625,636.1113891601562,0.3940251469612121,0.3940251469612121,0.0228249356150627,0.9771750569343568,0.9861468750168568,0.09375,0.03125,0.1015625,0.1640625,0.09375,0.0234375,0.109375,0.0703125,0.1875,0.125,0.96875
23,UNO,24.0,UNO,UNO,48282.16796875,1394.518310546875,0.3734967708587646,0.0410077534615993,21726.087890625,158882864.0,16544.01953125,47424.5390625,0.2025037109851837,0.2025037109851837,203805.1875,805.6893310546875,620.2604370117188,0.407824695110321,0.407824695110321,0.0216616764664649,0.9783383011817932,1.020548333006445,0.09375,0.03125,0.1015625,0.1640625,0.0859375,0.0234375,0.109375,0.0703125,0.1875,0.1328125,0.96875
24,UNO,25.0,UNO,UNO,49918.87890625,1414.335693359375,0.3697969913482666,0.0032467818818986,22020.27734375,35008600.0,12595.134765625,48780.40234375,0.0569805391132831,0.0569805391132831,201214.734375,801.3944702148438,622.241943359375,0.4035098552703857,0.4035098552703857,0.021328043192625,0.9786719679832458,1.011709874990629,0.09375,0.0234375,0.1015625,0.1640625,0.0859375,0.0234375,0.109375,0.0703125,0.1953125,0.1328125,0.9765625
25,UNO,26.0,UNO,UNO,48983.46484375,1403.926513671875,0.359769195318222,0.0343545712530612,21589.28515625,149538304.0,14021.1005859375,57541.0859375,0.1853498518466949,0.1853498518466949,194200.359375,825.78857421875,592.8634033203125,0.3966674208641052,0.3966674208641052,0.0205752253532409,0.979424774646759,1.026052625005832,0.09375,0.0234375,0.1015625,0.15625,0.09375,0.0234375,0.109375,0.0703125,0.203125,0.125,0.9765625
26,UNO,27.0,UNO,UNO,48394.3046875,1402.1478271484375,0.3611668348312378,8.15552775748074e-05,21578.50390625,-6759848.0,15495.3408203125,48306.9609375,-0.0090307956561446,0.0090307956561446,194989.46875,845.3761596679688,573.4619140625,0.4022134244441986,0.4022134244441986,0.0206133835017681,0.9793866276741028,1.0553541250119451,0.09375,0.0234375,0.1015625,0.15625,0.09375,0.0234375,0.109375,0.0703125,0.203125,0.125,0.9765625
27,UNO,28.0,UNO,UNO,47898.34375,1404.5760498046875,0.3618611693382263,0.0444832630455493,21042.833984375,-144905472.0,12618.5068359375,54447.5546875,-0.2109105587005615,0.2109105587005615,184422.375,841.582763671875,557.0448608398438,0.3933929800987243,0.3933929800987243,0.0206608846783638,0.9793391227722168,0.9706462909816764,0.0859375,0.0234375,0.1015625,0.15625,0.09375,0.0234375,0.1171875,0.0703125,0.203125,0.125,0.9765625
28,UNO,29.0,UNO,UNO,47875.81640625,1418.3819580078125,0.3693659007549286,0.0069387950934469,21365.291015625,105617488.0,16628.58203125,76249.78125,0.0832994282245636,0.0832994282245636,189825.90625,833.089599609375,568.4530639648438,0.4008383154869079,0.4008383154869079,0.0210872497409582,0.9789127707481384,0.967768000002252,0.0859375,0.0234375,0.1015625,0.15625,0.09375,0.0234375,0.1171875,0.0703125,0.203125,0.125,0.9765625
29,UNO,30.0,UNO,UNO,49495.59375,1408.611328125,0.3918160200119018,0.0294371098279953,21479.96484375,154644224.0,12342.884765625,73024.640625,0.1715724617242813,0.1715724617242813,186750.390625,814.5587158203125,574.1849365234375,0.3992889523506164,0.3992889523506164,0.0225919373333454,0.9774080514907836,1.0245310830068777,0.078125,0.0234375,0.1015625,0.15625,0.09375,0.0234375,0.125,0.0703125,0.203125,0.125,0.9765625
30,UNO,31.0,UNO,UNO,49992.703125,1445.21826171875,0.4270718991756439,0.0389349311590194,22620.00390625,278915520.0,24422.673828125,57877.51171875,0.197319358587265,0.197319358587265,166179.234375,801.3660888671875,543.5043334960938,0.3815423846244812,0.3815423846244812,0.025003582239151,0.9749964475631714,0.970307125011459,0.078125,0.03125,0.1015625,0.15625,0.09375,0.0234375,0.125,0.0703125,0.1953125,0.125,0.96875
