expr-id,FID
0,169.93873596191406
1,163.3548583984375
2,172.11924743652344
3,nan
4,175.87594604492188
5,168.83258056640625
6,171.2725067138672
7,171.42723083496094
8,164.9825897216797
9,172.8756103515625
