Step,Reconstruction Loss,KL Loss,Uniformity Loss,Orthogonality Loss,Total Loss,Time,Entropy,Margin,0 Fraction,1 Fraction
1,13608.92578125,7811.880859375,4.247550010681152,2.0972859859466553,21420.806640625,0.015794754028320312,0.20994693040847778,0.14500564336776733,0.7578125,0.2421875
2,32801.8125,8833.052734375,3.0864956378936768,70.50061798095703,41634.865234375,0.015171527862548828,0.19681286811828613,0.11214455962181091,0.828125,0.171875
3,42807.57421875,9451.73828125,2.1291329860687256,83.29218292236328,52259.3125,0.014406681060791016,0.1520518809556961,0.09272214770317078,0.875,0.125
4,109925.828125,10947.58984375,1.7535414695739746,123.49789428710938,120873.41796875,0.014724493026733398,0.13828310370445251,0.08530484139919281,0.890625,0.109375
5,183526.84375,11901.4453125,1.459778904914856,58.62533950805664,195428.2890625,0.014811992645263672,0.1350201666355133,0.08384815603494644,0.9140625,0.0859375
6,336741.28125,14427.939453125,1.3613641262054443,41.76807403564453,351169.220703125,0.014699220657348633,0.1507367491722107,0.09119924157857895,0.921875,0.078125
7,452288.8125,18986.26953125,1.4926691055297852,39.62841033935547,471275.08203125,0.014419317245483398,0.18895378708839417,0.11051914095878601,0.9375,0.0625
8,555390.25,26705.955078125,1.8593201637268066,21.968786239624023,582096.205078125,0.015491962432861328,0.2885833978652954,0.189622700214386,0.921875,0.078125
9,584951.25,41104.9921875,2.4925053119659424,20.929502487182617,626056.2421875,0.014418363571166992,0.3887089192867279,0.25745880603790283,0.8828125,0.1171875
10,667660.0,50857.89453125,3.2081387042999268,16.273670196533203,718517.89453125,0.015229940414428711,0.5072824358940125,0.3569941520690918,0.9140625,0.0859375
11,627818.5,109612592.0,3.8907318115234375,inf,110240410.5,0.01426243782043457,0.6058893203735352,0.44738706946372986,0.8515625,0.1484375
12,595659.875,548404174258176.0,4.53628396987915,nan,548404174853835.9,0.015111684799194336,0.6985960602760315,0.5216293931007385,0.8359375,0.1640625
13,nan,nan,5.410213470458984,nan,nan,0.015427589416503906,0.7943501472473145,0.618786633014679,0.78125,0.21875
14,nan,nan,nan,nan,nan,0.014887094497680664,nan,nan,1.0,0.0
15,nan,nan,nan,nan,nan,0.015018463134765625,nan,nan,1.0,0.0
16,nan,nan,nan,nan,nan,0.014147758483886719,nan,nan,1.0,0.0
17,nan,nan,nan,nan,nan,0.015691041946411133,nan,nan,1.0,0.0
18,nan,nan,nan,nan,nan,0.014029979705810547,nan,nan,1.0,0.0
19,nan,nan,nan,nan,nan,0.015409469604492188,nan,nan,1.0,0.0
20,nan,nan,nan,nan,nan,0.014456510543823242,nan,nan,1.0,0.0
21,nan,nan,nan,nan,nan,0.014869451522827148,nan,nan,1.0,0.0
22,nan,nan,nan,nan,nan,0.01486825942993164,nan,nan,1.0,0.0
23,nan,nan,nan,nan,nan,0.01481485366821289,nan,nan,1.0,0.0
24,nan,nan,nan,nan,nan,0.014430999755859375,nan,nan,1.0,0.0
25,nan,nan,nan,nan,nan,0.014679431915283203,nan,nan,1.0,0.0
26,nan,nan,nan,nan,nan,0.014243841171264648,nan,nan,1.0,0.0
27,nan,nan,nan,nan,nan,0.014575004577636719,nan,nan,1.0,0.0
28,nan,nan,nan,nan,nan,0.0137481689453125,nan,nan,1.0,0.0
29,nan,nan,nan,nan,nan,0.014739990234375,nan,nan,1.0,0.0
30,nan,nan,nan,nan,nan,0.014713287353515625,nan,nan,1.0,0.0
31,nan,nan,nan,nan,nan,0.014616250991821289,nan,nan,1.0,0.0
32,nan,nan,nan,nan,nan,0.014473438262939453,nan,nan,1.0,0.0
33,nan,nan,nan,nan,nan,0.014435052871704102,nan,nan,1.0,0.0
34,nan,nan,nan,nan,nan,0.01432037353515625,nan,nan,1.0,0.0
35,nan,nan,nan,nan,nan,0.014254570007324219,nan,nan,1.0,0.0
36,nan,nan,nan,nan,nan,0.013764142990112305,nan,nan,1.0,0.0
37,nan,nan,nan,nan,nan,0.01463460922241211,nan,nan,1.0,0.0
38,nan,nan,nan,nan,nan,0.015275239944458008,nan,nan,1.0,0.0
39,nan,nan,nan,nan,nan,0.014553308486938477,nan,nan,1.0,0.0
40,nan,nan,nan,nan,nan,0.013861656188964844,nan,nan,1.0,0.0
41,nan,nan,nan,nan,nan,0.014400720596313477,nan,nan,1.0,0.0
42,nan,nan,nan,nan,nan,0.01517033576965332,nan,nan,1.0,0.0
43,nan,nan,nan,nan,nan,0.014622211456298828,nan,nan,1.0,0.0
44,nan,nan,nan,nan,nan,0.015876054763793945,nan,nan,1.0,0.0
45,nan,nan,nan,nan,nan,0.015121221542358398,nan,nan,1.0,0.0
46,nan,nan,nan,nan,nan,0.015828847885131836,nan,nan,1.0,0.0
47,nan,nan,nan,nan,nan,0.015003681182861328,nan,nan,1.0,0.0
48,nan,nan,nan,nan,nan,0.01528167724609375,nan,nan,1.0,0.0
49,nan,nan,nan,nan,nan,0.015192031860351562,nan,nan,1.0,0.0
50,nan,nan,nan,nan,nan,0.014002561569213867,nan,nan,1.0,0.0
51,nan,nan,nan,nan,nan,0.014366865158081055,nan,nan,1.0,0.0
52,nan,nan,nan,nan,nan,0.014233112335205078,nan,nan,1.0,0.0
53,nan,nan,nan,nan,nan,0.015114307403564453,nan,nan,1.0,0.0
54,nan,nan,nan,nan,nan,0.013956546783447266,nan,nan,1.0,0.0
55,nan,nan,nan,nan,nan,0.015382051467895508,nan,nan,1.0,0.0
56,nan,nan,nan,nan,nan,0.014246940612792969,nan,nan,1.0,0.0
57,nan,nan,nan,nan,nan,0.015644073486328125,nan,nan,1.0,0.0
58,nan,nan,nan,nan,nan,0.013817310333251953,nan,nan,1.0,0.0
59,nan,nan,nan,nan,nan,0.015139341354370117,nan,nan,1.0,0.0
60,nan,nan,nan,nan,nan,0.013863563537597656,nan,nan,1.0,0.0
61,nan,nan,nan,nan,nan,0.01493072509765625,nan,nan,1.0,0.0
62,nan,nan,nan,nan,nan,0.013923883438110352,nan,nan,1.0,0.0
63,nan,nan,nan,nan,nan,0.015072822570800781,nan,nan,1.0,0.0
64,nan,nan,nan,nan,nan,0.015681743621826172,nan,nan,1.0,0.0
65,nan,nan,nan,nan,nan,0.014734745025634766,nan,nan,1.0,0.0
66,nan,nan,nan,nan,nan,0.013953447341918945,nan,nan,1.0,0.0
67,nan,nan,nan,nan,nan,0.01436471939086914,nan,nan,1.0,0.0
68,nan,nan,nan,nan,nan,0.015025854110717773,nan,nan,1.0,0.0
69,nan,nan,nan,nan,nan,0.01459813117980957,nan,nan,1.0,0.0
70,nan,nan,nan,nan,nan,0.015394210815429688,nan,nan,1.0,0.0
71,nan,nan,nan,nan,nan,0.015482425689697266,nan,nan,1.0,0.0
72,nan,nan,nan,nan,nan,0.01564621925354004,nan,nan,1.0,0.0
73,nan,nan,nan,nan,nan,0.01540064811706543,nan,nan,1.0,0.0
74,nan,nan,nan,nan,nan,0.015750646591186523,nan,nan,1.0,0.0
75,nan,nan,nan,nan,nan,0.015264749526977539,nan,nan,1.0,0.0
76,nan,nan,nan,nan,nan,0.014656543731689453,nan,nan,1.0,0.0
77,nan,nan,nan,nan,nan,0.0142364501953125,nan,nan,1.0,0.0
78,nan,nan,nan,nan,nan,0.014655351638793945,nan,nan,1.0,0.0
79,nan,nan,nan,nan,nan,0.015059232711791992,nan,nan,1.0,0.0
80,nan,nan,nan,nan,nan,0.013960838317871094,nan,nan,1.0,0.0
81,nan,nan,nan,nan,nan,0.014486074447631836,nan,nan,1.0,0.0
82,nan,nan,nan,nan,nan,0.014523029327392578,nan,nan,1.0,0.0
83,nan,nan,nan,nan,nan,0.015059232711791992,nan,nan,1.0,0.0
84,nan,nan,nan,nan,nan,0.015053272247314453,nan,nan,1.0,0.0
85,nan,nan,nan,nan,nan,0.014420270919799805,nan,nan,1.0,0.0
86,nan,nan,nan,nan,nan,0.015287399291992188,nan,nan,1.0,0.0
87,nan,nan,nan,nan,nan,0.014403104782104492,nan,nan,1.0,0.0
88,nan,nan,nan,nan,nan,0.015292882919311523,nan,nan,1.0,0.0
89,nan,nan,nan,nan,nan,0.015175819396972656,nan,nan,1.0,0.0
90,nan,nan,nan,nan,nan,0.014531612396240234,nan,nan,1.0,0.0
91,nan,nan,nan,nan,nan,0.01458430290222168,nan,nan,1.0,0.0
92,nan,nan,nan,nan,nan,0.013967037200927734,nan,nan,1.0,0.0
