Step,Total Loss,Time,0 Fraction,1 Fraction,Orthogonality Loss
1,0.5207175612449646,2.1124191284179688,0.0,1.0,0.5228338241577148
2,0.505345344543457,1.819101333618164,0.09999999999999998,0.9,0.4756543040275574
3,0.39535394310951233,1.8188543319702148,0.96,0.04,0.12783478200435638
4,0.37825891375541687,1.8066885471343994,1.0,0.0,0.0787455216050148
5,0.43122637271881104,1.8076040744781494,1.0,0.0,0.022525113075971603
6,0.31559813022613525,1.8337390422821045,1.0,0.0,0.022114193066954613
7,0.2801375985145569,1.7980945110321045,1.0,0.0,0.04172311723232269
8,0.36657169461250305,1.7941033840179443,1.0,0.0,0.05481996759772301
9,0.4050012528896332,1.8169524669647217,1.0,0.0,0.023599283769726753
10,0.3710639178752899,1.810032606124878,1.0,0.0,0.010558503679931164
11,0.16852790117263794,1.8006885051727295,1.0,0.0,7.827462832210585e-05
12,0.23650988936424255,1.795278787612915,1.0,0.0,0.017584994435310364
13,0.5679840445518494,1.8072550296783447,1.0,0.0,0.25795111060142517
14,0.37795087695121765,1.8022141456604004,1.0,0.0,8.554296800866723e-05
15,0.316235214471817,1.8066716194152832,1.0,0.0,0.02385469526052475
16,0.5681830644607544,1.8230953216552734,1.0,0.0,0.0025230736937373877
17,0.3377545475959778,1.8089079856872559,1.0,0.0,0.17569135129451752
18,0.3149557113647461,1.8136234283447266,1.0,0.0,0.05847708508372307
19,0.27902451157569885,1.8364605903625488,1.0,0.0,0.004478471353650093
20,0.21981433033943176,1.8121891021728516,1.0,0.0,0.002519484143704176
21,0.3059839904308319,1.807126760482788,1.0,0.0,0.03545237332582474
22,0.43342968821525574,1.8451147079467773,1.0,0.0,0.00014465423009824008
23,0.17301657795906067,1.8317086696624756,1.0,0.0,0.06437452882528305
24,0.2805551588535309,1.827303409576416,0.92,0.08,0.00027319963555783033
25,0.2174433171749115,1.8442492485046387,0.92,0.08,0.08238072693347931
26,0.19575300812721252,1.8372280597686768,0.88,0.12,0.0019922596402466297
27,0.3367493152618408,1.8197524547576904,0.86,0.14,1.168531525763683e-05
28,0.18999578058719635,1.8187000751495361,0.76,0.24,0.029683992266654968
29,0.21941693127155304,1.8211688995361328,0.78,0.22,0.007667163852602243
30,0.14871786534786224,1.8172929286956787,0.76,0.24,0.018050119280815125
31,0.2601049840450287,1.8207945823669434,0.74,0.26,0.0008085343870334327
32,0.4350905418395996,1.832979440689087,0.86,0.14,0.0874495655298233
33,0.22078411281108856,1.8269917964935303,0.74,0.26,0.0013539587380364537
34,0.35706695914268494,1.8195607662200928,0.8,0.2,6.437011279558646e-08
35,0.3138948082923889,1.8370027542114258,0.8,0.2,0.0003407078911550343
36,0.24403700232505798,1.8191249370574951,0.96,0.04,0.00022523663938045502
37,0.39120325446128845,1.803295373916626,0.92,0.08,0.013420152477920055
38,0.26967450976371765,1.8196518421173096,0.94,0.06,3.931048922822811e-05
39,0.22912323474884033,1.8063747882843018,0.94,0.06,0.009133105166256428
40,0.18900448083877563,1.8054068088531494,0.92,0.08,0.014594744890928268
41,0.2948881983757019,1.8061914443969727,0.96,0.04,0.0007739995489828289
42,0.28002071380615234,1.7972157001495361,0.92,0.08,0.0025598995853215456
43,0.30882999300956726,1.8048405647277832,0.98,0.02,0.00032356297015212476
44,0.41020897030830383,1.8292171955108643,0.98,0.02,6.427958578569815e-05
45,0.3757750988006592,1.8126742839813232,0.96,0.04,0.0050839027389883995
46,0.15320494771003723,1.7991089820861816,0.94,0.06,0.00029767901287414134
47,0.19783833622932434,1.8067176342010498,0.96,0.04,0.0003508162044454366
48,0.05880393832921982,1.8116881847381592,0.96,0.04,0.0006828293553553522
49,0.3105749487876892,1.8033299446105957,0.98,0.02,0.00011336510942783207
50,0.19949594140052795,1.8067235946655273,0.98,0.02,0.0022000048775225878
51,0.25342613458633423,1.839773416519165,0.96,0.04,0.00016149162547662854
52,0.2443128079175949,1.7977581024169922,0.98,0.02,0.004003751557320356
53,0.41915714740753174,1.8077874183654785,0.98,0.02,0.01201208122074604
54,0.22851859033107758,1.811284065246582,0.98,0.02,0.0012759189121425152
