Step,Total Loss,Time,0 Fraction,1 Fraction
1.0,0.00574082611128683,0.5454831123352051,0.0,1.0
2.0,0.00755891669541592,0.3669667959213257,0.014000000000000002,0.9860000000000001
3.0,0.00499294006731357,0.3595349073410034,0.07999999999999999,0.9200000000000002
4.0,0.005166671401821039,0.3623141527175903,0.19399999999999998,0.806
5.0,0.005908087966963611,0.3576895952224731,0.266,0.7340000000000002
6.0,0.00522997123189267,0.3613602161407471,0.366,0.6340000000000001
7.0,0.0032342620193957805,0.35814177989959717,0.418,0.582
8.0,0.005148975923657371,0.36032328605651853,0.44600000000000006,0.554
9.0,0.0037490051938220497,0.35978045463562014,0.47199999999999986,0.5280000000000001
10.0,0.00455181499710301,0.3590095996856689,0.546,0.454
11.0,0.003506604430731349,0.3593741416931152,0.5479999999999999,0.45200000000000007
12.0,0.003999309497885339,0.36199402809143066,0.6259999999999999,0.374
13.0,0.00390041917562481,0.36132426261901857,0.648,0.35200000000000004
14.0,0.00394042378757144,0.3633394479751587,0.6619999999999999,0.338
15.0,0.00443142680451269,0.3627950668334961,0.6680000000000001,0.332
16.0,0.00435068319784474,0.36127638816833496,0.7660000000000001,0.23399999999999999
17.0,0.0036504066316410504,0.3636906623840332,0.7340000000000001,0.266
18.0,0.00396737472619857,0.36166083812713623,0.7699999999999999,0.23000000000000004
19.0,0.00359966759569939,0.35970852375030515,0.8039999999999999,0.19600000000000004
20.0,0.0033399755018762704,0.36035928726196287,0.852,0.14800000000000002
21.0,0.0031967741349944296,0.3626950025558472,0.85,0.15
22.0,0.0026813140953890397,0.3647355556488037,0.8639999999999999,0.13600000000000004
23.0,0.0028694751730653904,0.36147265434265136,0.876,0.12400000000000003
24.0,0.00327863941201935,0.3659808874130249,0.9060000000000002,0.094
25.0,0.0035893102292902197,0.3629181861877441,0.9219999999999999,0.078
26.0,0.00353659274987871,0.36425013542175294,0.9480000000000001,0.052000000000000005
27.0,0.0038799880188889304,0.363860559463501,0.938,0.06200000000000001
28.0,0.00366528363665559,0.36454293727874754,0.9260000000000002,0.07400000000000001
29.0,0.0029640297056175297,0.3609353542327881,0.9400000000000001,0.06000000000000001
30.0,0.0033224849612451604,0.36139113903045655,0.932,0.068
31.0,0.00277654149103905,0.36059720516204835,0.9480000000000001,0.052000000000000005
32.0,0.00310019767493936,0.36174418926239016,0.9380000000000001,0.06200000000000001
33.0,0.00265912599861617,0.36134393215179444,0.9440000000000002,0.05600000000000001
34.0,0.0030514729442074704,0.36184241771698,0.95,0.05
35.0,0.00302100746193895,0.36049752235412597,0.958,0.041999999999999996
36.0,0.0023642889747861303,0.3621827602386475,0.9480000000000001,0.052000000000000005
37.0,0.00259873153408984,0.36330509185791016,0.9640000000000001,0.036000000000000004
38.0,0.0048348890966735305,0.35957775115966795,0.974,0.026000000000000002
39.0,0.00252153368201102,0.35780417919158936,0.982,0.018000000000000002
40.0,0.0022217993799131,0.35757310390472413,0.978,0.022
41.0,0.00298253517830738,0.36150689125061036,0.982,0.018
42.0,0.0022802237188443,0.35963921546936034,0.984,0.016
43.0,0.00268526211148122,0.36364362239837644,0.9880000000000001,0.012
44.0,0.0024411769350990197,0.36287443637847894,0.984,0.016
45.0,0.00248365746811027,0.3596962213516235,0.99,0.01
46.0,0.00254185484373005,0.35830461978912354,0.9940000000000001,0.006
47.0,0.0027377029182389,0.36466729640960693,0.9940000000000001,0.006
48.0,0.0015691524546127197,0.3655367851257324,0.9920000000000002,0.008
49.0,0.002741183686885,0.36344084739685056,0.9940000000000001,0.006
50.0,0.00213624121388416,0.36338746547698975,0.9940000000000001,0.006
51.0,0.0022828892571851098,0.36258094310760497,0.9899999999999999,0.01
52.0,0.0018343330943025097,0.3638239622116089,0.9920000000000002,0.008
53.0,0.0023753045708871994,0.3603366851806641,0.9900000000000002,0.01
54.0,0.00227351238718252,0.3602238416671753,0.998,0.002
55.0,0.00231355014257129,0.360343337059021,0.9920000000000002,0.008
56.0,0.0026121956063434,0.35947206020355227,0.9920000000000002,0.008
57.0,0.0019368345674592598,0.36218676567077634,0.998,0.002
58.0,0.00192676709266374,0.3580325603485107,0.9920000000000002,0.008
59.0,0.00200872515270016,0.3626631498336792,0.9960000000000001,0.004
60.0,0.0015120881449547001,0.3593913555145264,0.998,0.002
61.0,0.00274769192328672,0.3597549915313721,1.0,0.0
62.0,0.016955314355436662,0.3589543342590332,0.998,0.002
63.0,0.0019482406438327798,0.3603998899459839,1.0,0.0
64.0,0.0021900299936532396,0.3638816595077514,0.9960000000000001,0.004
65.0,0.00214973787078629,0.36162528991699217,1.0,0.0
66.0,0.00210950163891534,0.35979738235473635,0.998,0.002
67.0,0.00218593230820257,0.3612420320510864,0.998,0.002
68.0,0.0019002313842065098,0.36301722526550295,0.998,0.002
69.0,0.0030522221932187195,0.35826907157897947,0.994,0.006
70.0,0.00257547429064284,0.3613931894302368,0.998,0.002
71.0,0.00212372803944157,0.35958974361419677,0.9960000000000001,0.004
72.0,0.0024034476140513497,0.36260061264038085,0.992,0.008
73.0,0.0020035806053783104,0.3575003147125244,0.9879999999999999,0.012
74.0,0.0030282280757091494,0.35972859859466555,0.9879999999999999,0.012
75.0,0.0025010890385601,0.362743616104126,0.9879999999999999,0.012
76.0,0.0019980722630861597,0.3601114273071289,0.9879999999999999,0.012
77.0,0.00230026186618483,0.36082682609558103,0.986,0.014000000000000002
78.0,0.0024668641504831195,0.3610598802566528,0.982,0.018
79.0,0.0018841383280232098,0.36026926040649415,0.992,0.008
80.0,0.0021116796473506397,0.3584029197692871,0.986,0.014000000000000002
81.0,0.0019523260620189502,0.3615021944046021,0.986,0.014000000000000002
82.0,0.00246946362312877,0.35623366832733155,0.99,0.01
83.0,0.00212706260790578,0.35707340240478513,0.992,0.008
84.0,0.0020239492587279,0.3584292411804199,0.998,0.002
85.0,0.00236957768211136,0.3557902812957764,0.9960000000000001,0.004
86.0,0.0025004656752570797,0.3567919969558716,0.998,0.002
87.0,0.00194640185800376,0.35972669124603274,0.998,0.002
88.0,0.00209370183292771,0.3600789546966553,0.9960000000000001,0.004
89.0,0.0093803045980166,0.3592621564865112,0.992,0.008
90.0,0.00266950679942961,0.35914974212646483,0.986,0.013999999999999999
91.0,0.011487739795120371,0.3590029001235962,0.99,0.01
92.0,0.00272751703159878,0.3590111494064331,0.992,0.008
93.0,0.00210705174249592,0.3584007501602173,0.992,0.008
94.0,0.00214004904846657,0.3597579002380371,0.9940000000000001,0.006
95.0,0.00198729719268155,0.3591576337814331,0.9960000000000001,0.004
96.0,0.00195661968318741,0.3600013732910156,0.9960000000000001,0.004
97.0,0.0027467687963507502,0.35806472301483155,0.998,0.002
98.0,0.0018572716799098502,0.359197998046875,0.994,0.006
99.0,0.00189271400449792,0.3600374460220337,0.9960000000000001,0.004
100.0,0.0024445487477350297,0.35994596481323243,1.0,0.0
