Label,Step,Time,FID,Time/Step
a,659 (0),9.416 (0.2531),318.3 (9.165),0.01429 (0.0003841)
ad,17.1 (2.508),0.2458 (0.03614),nan (nan),0.01437 (0.0001477)
s,586.7 (183.4),10.75 (3.362),176 (3.663),0.01832 (0.0001827)
o,3 (0),0.5282 (0.004201),174.3 (1.568),0.1761 (0.0014)
os,2.8 (0.4),0.2828 (0.04041),177.1 (4.745),0.101 (0.0003538)
hat,271.4 (115.5),4.377 (1.863),174.8 (1.903),0.01613 (7.69e-05)
shat,8 (9.252),0.1813 (0.2097),176.4 (3.49),0.02266 (0.0001126)
ohat,2.8 (0.4),0.4987 (0.07125),173.4 (1.792),0.1781 (0.0002688)
ohatshat,2.9 (0.5385),0.2978 (0.0553),175.2 (2.304),0.1027 (0.0002741)
