Step,Total Loss,Time,0 Fraction,1 Fraction
1,0.0013760026777163148,0.7545120716094971,0.0,1.0
2,0.0026103537529706955,0.7006866931915283,0.020000000000000018,0.98
3,0.0015934857074171305,0.7291004657745361,0.09999999999999998,0.9
4,0.000961810234002769,0.7033164501190186,0.33999999999999997,0.66
5,0.0004976227646693587,0.70247483253479,0.74,0.26
6,0.00029860041104257107,0.7141177654266357,0.88,0.12
7,0.0008586624171584845,0.7060503959655762,0.98,0.02
8,0.0004598888335749507,0.7042264938354492,1.0,0.0
9,0.0005988118937239051,0.7151470184326172,1.0,0.0
10,0.0004212444182485342,0.7062814235687256,1.0,0.0
11,0.0003875271650031209,0.703589916229248,1.0,0.0
12,0.00037911446997895837,0.7057468891143799,1.0,0.0
13,0.0003868979401886463,0.7061991691589355,1.0,0.0
14,0.0003616661997511983,0.7058632373809814,1.0,0.0
15,0.00028727162862196565,0.7056660652160645,1.0,0.0
16,0.0003571331617422402,0.7042486667633057,1.0,0.0
17,0.0002491748600732535,0.7054738998413086,1.0,0.0
18,0.0004686238244175911,0.7022035121917725,1.0,0.0
19,0.0003135533770546317,0.7058792114257812,1.0,0.0
20,0.0004876398597843945,0.6983342170715332,1.0,0.0
21,0.00038943137042224407,0.7095048427581787,1.0,0.0
22,0.00010136248602066189,0.6969418525695801,1.0,0.0
23,0.00022568547865375876,0.7040872573852539,1.0,0.0
24,0.00044047567644156516,0.7003812789916992,1.0,0.0
25,0.0003624247619882226,0.70511794090271,1.0,0.0
26,0.00018660456407815218,0.7337090969085693,1.0,0.0
27,0.00011023609840776771,0.7013263702392578,1.0,0.0
28,0.0001890833955258131,0.7024438381195068,1.0,0.0
29,0.00034399074502289295,0.7083370685577393,1.0,0.0
30,0.0004990019951947033,0.7085058689117432,1.0,0.0
31,0.000235826795687899,0.7047426700592041,1.0,0.0
32,0.0002218510489910841,0.7161612510681152,1.0,0.0
33,0.00017383950762450695,0.7119121551513672,1.0,0.0
34,0.00022958902991376817,0.7114644050598145,1.0,0.0
35,0.000425750738941133,0.7054669857025146,1.0,0.0
36,0.0003196306643076241,0.7066659927368164,1.0,0.0
37,0.00020734331337735057,0.7027871608734131,1.0,0.0
38,0.0002325063687749207,0.7101318836212158,1.0,0.0
39,0.0006486074416898191,0.705857515335083,1.0,0.0
40,0.0002363227104069665,0.7036023139953613,1.0,0.0
41,0.0002870818425435573,0.7040245532989502,1.0,0.0
42,0.00018545442435424775,0.7034881114959717,1.0,0.0
43,6.948366353753954e-05,0.7062158584594727,1.0,0.0
44,0.00033913692459464073,0.7048506736755371,1.0,0.0
45,0.00018503260798752308,0.718858003616333,1.0,0.0
46,9.512632095720619e-05,0.7033495903015137,1.0,0.0
47,0.00017194788961205631,0.7105917930603027,1.0,0.0
48,0.0002865501446649432,0.7185063362121582,1.0,0.0
49,0.00022257489035837352,0.7021405696868896,1.0,0.0
50,0.00030488416086882353,0.7042684555053711,1.0,0.0
51,0.00020600072457455099,0.7035932540893555,1.0,0.0
52,0.00025302302674390376,0.7031304836273193,1.0,0.0
53,5.466575385071337e-05,0.7140977382659912,1.0,0.0
54,0.00022467333474196494,0.7008051872253418,1.0,0.0
55,0.00031400087755173445,0.7100403308868408,1.0,0.0
56,0.00015249250282067806,0.7046465873718262,1.0,0.0
57,0.00028824887704104185,0.7067451477050781,1.0,0.0
58,0.0002573157544247806,0.7184422016143799,1.0,0.0
59,0.00016937845794018358,0.7077481746673584,1.0,0.0
60,0.00010949514398816973,0.7100615501403809,1.0,0.0
61,0.0002496917441021651,0.7131693363189697,1.0,0.0
62,0.00035834714071825147,0.7299165725708008,1.0,0.0
63,0.00010396552534075454,0.7059195041656494,1.0,0.0
64,0.00010618533997330815,0.7067034244537354,1.0,0.0
65,0.00020158894767519087,0.7173740863800049,1.0,0.0
66,0.00021490632207132876,0.7079720497131348,1.0,0.0
67,0.00014323026698548347,0.7046895027160645,1.0,0.0
68,0.00025511669809930027,0.7023148536682129,1.0,0.0
69,0.00025658024242147803,0.7085058689117432,1.0,0.0
70,0.00031962772482074797,0.7087001800537109,1.0,0.0
71,0.00014390822616405785,0.7018682956695557,1.0,0.0
72,7.162246765801683e-05,0.7599992752075195,1.0,0.0
73,0.00014909984020050615,0.7075917720794678,1.0,0.0
74,0.00020335223234724253,0.7024714946746826,1.0,0.0
75,0.00035826090606860816,0.7043931484222412,1.0,0.0
76,0.00018670808640308678,0.7133016586303711,1.0,0.0
77,0.00023819651687517762,0.7075150012969971,1.0,0.0
78,0.00011602661106735468,0.706784725189209,1.0,0.0
79,0.0002561708097346127,0.712913990020752,1.0,0.0
80,0.0001731726515572518,0.7139074802398682,1.0,0.0
81,0.00031535106245428324,0.7227473258972168,1.0,0.0
82,0.00018981161701958627,0.7057406902313232,1.0,0.0
83,0.000281224783975631,0.7054412364959717,1.0,0.0
84,0.00019377133867237717,0.708935022354126,1.0,0.0
85,0.00021918280981481075,0.7052943706512451,1.0,0.0
86,0.00018840719712898135,0.8032131195068359,1.0,0.0
87,0.0002019041421590373,0.8230350017547607,1.0,0.0
88,0.000257052801316604,0.7054579257965088,1.0,0.0
89,0.000344883359503001,0.7050032615661621,1.0,0.0
90,0.00036702450597658753,0.7078540325164795,1.0,0.0
91,0.0001139430605689995,0.7041335105895996,1.0,0.0
92,0.0003839570563286543,0.7120156288146973,1.0,0.0
93,0.00016030353435780853,0.7190780639648438,1.0,0.0
94,0.00019901202176697552,0.724259614944458,1.0,0.0
95,0.0002828807046171278,0.707949161529541,1.0,0.0
96,0.0003416335384827107,0.7095177173614502,1.0,0.0
97,0.00021144990751054138,0.7094790935516357,1.0,0.0
98,0.00019537338812369853,0.7222764492034912,1.0,0.0
99,0.00024011405184864998,0.7019064426422119,1.0,0.0
100,0.00035437237238511443,0.7093703746795654,1.0,0.0
