Label,Step,Time,FID,Time/Step
s,10.7 (3.1),7.622 (2.211),12.25 (0.7668),0.7124 (0.008992)
o,3.5 (0.5),6.361 (0.9088),11.85 (0.8136),1.817 (0.004585)
os,5.1 (1.513),6.495 (1.928),11.97 (0.8263),1.273 (0.008038)
