Step,Update,Next Update Number,Next Update,Method,Reconstruction Loss,KL Loss,Uniformity Loss,Orthogonality Loss,Total Loss,Gradient Dot Product,Retain Gradient Norm,Forget Gradient Norm,Cosine Similarity,Absolute Cosine Similarity,Full Dataset Gradient Dot Product,Full Dataset Retain Gradient Norm,Full Dataset Forget Gradient Norm,Full Dataset Cosine Similarity,Absolute Full Dataset Cosine Similarity,Mean 1 Probability,1 - Mean 1 Probability,Time,0 Fraction,1 Fraction,2 Fraction,3 Fraction,4 Fraction,5 Fraction,6 Fraction,7 Fraction,8 Fraction,9 Fraction,1 - Fraction
0,None (initial state),1.0,Retraining,Retraining,46574.9921875,1483.72216796875,0.7663294076919556,0.0038297255523502827,22689.544921875,-86540464.0,19739.04296875,70845.015625,-0.06188477575778961,0.06188477575778961,7383.72265625,116.76532745361328,117.35769653320312,0.5388277173042297,0.5388277173042297,0.04588319733738899,0.9541168212890625,0.946698625019053,0.078125,0.0625,0.1015625,0.1328125,0.09375,0.015625,0.125,0.0703125,0.2109375,0.109375,0.9375
1,Retraining,2.0,Retraining,Retraining,48178.96875,1477.9654541015625,0.6405152082443237,0.04106900840997696,23213.806640625,-404771616.0,32414.478515625,61618.890625,-0.2026548981666565,0.2026548981666565,139965.078125,817.3822631835938,351.808349609375,0.48673027753829956,0.48673027753829956,0.038124196231365204,0.9618757963180542,0.9137413340213243,0.078125,0.046875,0.1015625,0.1328125,0.0859375,0.0234375,0.125,0.0703125,0.21875,0.1171875,0.953125
2,Retraining,3.0,Retraining,Retraining,51400.78125,1475.98876953125,0.5214599967002869,0.006676608696579933,24706.921875,109350792.0,22989.453125,58212.37109375,0.08171051740646362,0.08171051740646362,233007.046875,861.4689331054688,480.7103271484375,0.5626599788665771,0.5626599788665771,0.03058398887515068,0.9694160223007202,0.9747541669930797,0.078125,0.0390625,0.1015625,0.125,0.09375,0.0234375,0.125,0.0703125,0.2265625,0.1171875,0.9609375
3,Retraining,4.0,Retraining,Retraining,53215.1796875,1489.188232421875,0.500447154045105,0.21127936244010925,23996.5859375,1125402496.0,35117.453125,69719.828125,0.4596513509750366,0.4596513509750366,264315.03125,857.2180786132812,540.4282836914062,0.5705483555793762,0.5705483555793762,0.029711617156863213,0.9702883958816528,0.9279357919876929,0.078125,0.0390625,0.1015625,0.1171875,0.1171875,0.0234375,0.1328125,0.0703125,0.21875,0.1015625,0.9609375
4,Retraining,5.0,Retraining,Retraining,50173.09375,1472.410888671875,0.5314410328865051,0.014089776203036308,22682.8984375,250357952.0,33829.99609375,62345.8203125,0.11870036274194717,0.11870036274194717,268268.875,852.9529418945312,582.1651611328125,0.5402553081512451,0.5402553081512451,0.03195163607597351,0.9680483341217041,0.9407961250108201,0.0859375,0.046875,0.1015625,0.1171875,0.125,0.0234375,0.125,0.0703125,0.2109375,0.09375,0.953125
5,Retraining,6.0,Retraining,Retraining,55539.33203125,1457.666015625,0.5746159553527832,0.006862549111247063,24927.166015625,82542584.0,15048.4482421875,66213.0390625,0.08284050226211548,0.08284050226211548,220434.640625,787.2949829101562,551.375244140625,0.5078027844429016,0.5078027844429016,0.03494692221283913,0.9650530815124512,0.9784121660050005,0.09375,0.046875,0.1015625,0.125,0.125,0.015625,0.125,0.0703125,0.203125,0.09375,0.953125
6,Retraining,7.0,Retraining,Retraining,50288.5859375,1466.5318603515625,0.5709481239318848,6.526416109409183e-05,22229.814453125,7063410.0,19136.56640625,45689.16015625,0.008078623563051224,0.008078623563051224,131546.3125,719.7797241210938,458.3368835449219,0.3987441062927246,0.3987441062927246,0.034675903618335724,0.9653241038322449,0.925909458019305,0.109375,0.046875,0.109375,0.125,0.125,0.0078125,0.109375,0.0703125,0.203125,0.09375,0.953125
7,Retraining,8.0,Retraining,Retraining,50344.5078125,1448.607421875,0.5791602730751038,0.006715654861181974,22309.513671875,107920968.0,21508.013671875,61229.5859375,0.08194909989833832,0.08194909989833832,72547.984375,674.2103881835938,404.8629150390625,0.2657797932624817,0.2657797932624817,0.03528748080134392,0.9647125005722046,0.9283321250113659,0.1015625,0.0546875,0.109375,0.125,0.125,0.015625,0.109375,0.0703125,0.1953125,0.09375,0.9453125
8,Retraining,9.0,Retraining,Retraining,51602.265625,1437.20703125,0.5744710564613342,0.0057815308682620525,22737.42578125,-147780400.0,35629.421875,54548.98046875,-0.07603637874126434,0.07603637874126434,47703.953125,695.73095703125,370.5151062011719,0.18505769968032837,0.18505769968032837,0.03490927815437317,0.9650907516479492,1.0265176660032012,0.1015625,0.0546875,0.109375,0.125,0.125,0.015625,0.109375,0.0703125,0.1875,0.1015625,0.9453125
9,Retraining,10.0,Retraining,Retraining,49766.375,1418.615966796875,0.5579661130905151,0.0038213629741221666,23129.7578125,-53050340.0,17400.1796875,49320.2578125,-0.06181717291474342,0.06181717291474342,39798.375,695.9992065429688,352.6229553222656,0.16216081380844116,0.16216081380844116,0.033747777342796326,0.9662522077560425,0.983454792003613,0.09375,0.0546875,0.109375,0.125,0.1171875,0.015625,0.1171875,0.0703125,0.1875,0.109375,0.9453125
10,Retraining,11.0,Retraining,Retraining,50356.2109375,1443.3162841796875,0.5599812269210815,0.01818721555173397,23902.056640625,-113955800.0,16608.021484375,50878.6328125,-0.13485997915267944,0.13485997915267944,54685.9453125,693.5072631835938,358.3463439941406,0.22005018591880798,0.22005018591880798,0.03383949398994446,0.9661605358123779,0.9592002500139643,0.09375,0.0546875,0.1015625,0.1484375,0.1171875,0.015625,0.1171875,0.0703125,0.171875,0.109375,0.9453125
11,Retraining,12.0,Retraining,Retraining,47981.9609375,1407.826171875,0.558158278465271,0.000660579651594162,21972.3046875,-25178906.0,20460.443359375,47880.5625,-0.025701744481921196,0.025701744481921196,74666.9921875,663.2438354492188,386.7420959472656,0.29109451174736023,0.29109451174736023,0.03368096053600311,0.9663190245628357,0.9758115419826936,0.09375,0.0546875,0.1015625,0.1484375,0.1015625,0.015625,0.1171875,0.0703125,0.1796875,0.1171875,0.9453125
12,Retraining,13.0,Retraining,Retraining,48527.265625,1416.73828125,0.542900800704956,0.050915803760290146,22482.04296875,258605200.0,19042.509765625,60184.78515625,0.2256453037261963,0.2256453037261963,106235.6875,647.6610717773438,483.4797058105469,0.33926910161972046,0.33926910161972046,0.03255593031644821,0.9674440622329712,0.9225980830087792,0.0859375,0.0546875,0.109375,0.140625,0.09375,0.015625,0.1171875,0.0703125,0.1875,0.125,0.9453125
13,Retraining,14.0,Retraining,Retraining,51382.390625,1414.64697265625,0.5303435921669006,0.0954221561551094,22878.048828125,644561216.0,35745.66796875,58373.54296875,0.308904767036438,0.308904767036438,127795.390625,644.5007934570312,546.754150390625,0.3626599609851837,0.3626599609851837,0.031659532338380814,0.9683404564857483,0.9246893749805167,0.0859375,0.0546875,0.109375,0.140625,0.09375,0.015625,0.1171875,0.0703125,0.1875,0.125,0.9453125
14,Retraining,15.0,Retraining,Retraining,47296.79296875,1405.4697265625,0.5165245532989502,0.04798338934779167,21957.08203125,212702896.0,26624.798828125,36470.48828125,0.21905110776424408,0.21905110776424408,120410.90625,613.6138916015625,551.0404663085938,0.35611242055892944,0.35611242055892944,0.030778367072343826,0.9692216515541077,0.9659837080107536,0.09375,0.0390625,0.109375,0.140625,0.0859375,0.0234375,0.109375,0.0703125,0.1953125,0.1328125,0.9609375
15,Retraining,16.0,Retraining,Retraining,47759.5234375,1416.564208984375,0.507340669631958,0.0032893395982682705,21355.04296875,76602944.0,28143.9140625,47457.6875,0.057352762669324875,0.057352762669324875,113028.5234375,631.4541625976562,544.8551635742188,0.32852253317832947,0.32852253317832947,0.030253376811742783,0.9697466492652893,0.9216889999806881,0.09375,0.0390625,0.1171875,0.1328125,0.0859375,0.0234375,0.109375,0.0703125,0.1953125,0.1328125,0.9609375
16,Retraining,17.0,Retraining,Retraining,48594.265625,1389.352294921875,0.5232993364334106,0.014879666268825531,22008.57421875,63466808.0,12336.0029296875,42177.0,0.12198223918676376,0.12198223918676376,95141.0390625,684.0255737304688,497.0866394042969,0.2798101007938385,0.2798101007938385,0.03158729523420334,0.9684126973152161,0.9269917079946026,0.09375,0.046875,0.1171875,0.1328125,0.09375,0.0234375,0.109375,0.0703125,0.1875,0.125,0.953125
17,Retraining,18.0,Retraining,Retraining,47351.06640625,1399.32373046875,0.5273290276527405,0.018711736425757408,21616.619140625,-89164976.0,13333.0048828125,48888.7890625,-0.13679084181785583,0.13679084181785583,77369.7734375,727.1275634765625,455.6822204589844,0.23350632190704346,0.23350632190704346,0.03214322775602341,0.967856764793396,0.9682945829990786,0.09375,0.046875,0.1171875,0.140625,0.1015625,0.0234375,0.109375,0.0703125,0.1796875,0.1171875,0.953125
18,Retraining,19.0,Retraining,Retraining,48190.53515625,1387.91015625,0.5162850618362427,0.0072041782550513744,21637.212890625,-84790016.0,25824.22265625,38683.453125,-0.08487743139266968,0.08487743139266968,82224.546875,801.6494140625,446.7885437011719,0.22956988215446472,0.22956988215446472,0.03161286562681198,0.9683871269226074,0.9176295419747476,0.09375,0.046875,0.1171875,0.140625,0.1015625,0.0234375,0.109375,0.0703125,0.1796875,0.1171875,0.953125
19,Retraining,20.0,Retraining,Retraining,49830.4609375,1386.9423828125,0.5036722421646118,0.009298636578023434,22794.390625,-160966320.0,38994.1953125,42808.05078125,-0.09642943739891052,0.09642943739891052,82858.5078125,812.7626342773438,443.34271240234375,0.2299502044916153,0.2299502044916153,0.03084181249141693,0.9691581726074219,0.9083742919901852,0.09375,0.046875,0.1171875,0.140625,0.1171875,0.0234375,0.109375,0.0703125,0.1796875,0.1015625,0.953125
20,Retraining,21.0,Retraining,Retraining,48133.5078125,1387.00732421875,0.4707930088043213,0.000565790687687695,21956.154296875,-19656734.0,22452.712890625,36805.66015625,-0.023786354809999466,0.023786354809999466,86026.9921875,792.83447265625,427.87939453125,0.2535892724990845,0.2535892724990845,0.028632698580622673,0.9713672995567322,0.97285770799499,0.09375,0.0390625,0.1171875,0.1484375,0.1171875,0.0234375,0.109375,0.0703125,0.1796875,0.1015625,0.9609375
21,Retraining,22.0,Retraining,Retraining,48148.9609375,1391.05517578125,0.42877626419067383,0.054906658828258514,22201.076171875,-224161168.0,21824.974609375,43832.28515625,-0.2343216985464096,0.2343216985464096,102177.2734375,760.2109375,462.28582763671875,0.29074329137802124,0.29074329137802124,0.025731977075338364,0.9742680191993713,0.9343936670047697,0.09375,0.0390625,0.109375,0.15625,0.109375,0.0234375,0.109375,0.0703125,0.1796875,0.109375,0.9609375
