Step,Update,Next Update Number,Next Update,Method,Reconstruction Loss,KL Loss,Uniformity Loss,Orthogonality Loss,Total Loss,Gradient Dot Product,Retain Gradient Norm,Forget Gradient Norm,Cosine Similarity,Mean 1 Probability,1 - Mean 1 Probability,Time,0 Fraction,1 Fraction,2 Fraction,3 Fraction,4 Fraction,5 Fraction,6 Fraction,7 Fraction,8 Fraction,9 Fraction,1 - Fraction
23,Retraining,24.0,Retraining,Retraining,46737.859375,1499.1566162109375,0.525944709777832,0.019839392974972725,18765.3515625,-57067616.0,4926.31689453125,82243.796875,-0.14085237681865692,0.02936147339642048,0.9706385135650635,0.012813125009415671,0.078125,0.046875,0.1015625,0.1640625,0.0625,0.015625,0.125,0.0625,0.1875,0.15625,0.953125
24,Retraining,25.0,Retraining,Retraining,46556.171875,1498.3184814453125,0.5097024440765381,0.09351640939712524,18723.013671875,-144780720.0,4799.26904296875,98648.78125,-0.3058045208454132,0.02820059284567833,0.9717994332313538,0.011625374987488613,0.078125,0.046875,0.1015625,0.1640625,0.0625,0.015625,0.125,0.0625,0.1953125,0.1484375,0.953125
25,Retraining,26.0,Retraining,Retraining,46929.4140625,1497.311767578125,0.4969104826450348,0.042704932391643524,18737.40625,-97921760.0,5528.697265625,85707.21875,-0.2066517174243927,0.027221743017435074,0.9727782607078552,0.011698749993229285,0.078125,0.046875,0.1015625,0.1640625,0.0625,0.015625,0.125,0.0625,0.1953125,0.1484375,0.953125
26,Retraining,27.0,Retraining,Retraining,46779.0703125,1498.1976318359375,0.4894227683544159,0.041623830795288086,18693.7578125,-126924488.0,6204.16162109375,100274.6875,-0.2040191888809204,0.026519939303398132,0.9734800457954407,0.012253624998265877,0.078125,0.0390625,0.1015625,0.1640625,0.0625,0.015625,0.125,0.0625,0.203125,0.1484375,0.9609375
27,Retraining,28.0,Retraining,Retraining,46971.140625,1498.4287109375,0.4940793216228485,0.03958930820226669,18685.5625,128936392.0,6716.87890625,96475.9453125,0.19897061586380005,0.02667595073580742,0.9733240604400635,0.01097479200689122,0.078125,0.0390625,0.1015625,0.1640625,0.0546875,0.015625,0.125,0.0625,0.203125,0.15625,0.9609375
28,Retraining,29.0,Retraining,Retraining,47051.08203125,1499.124267578125,0.5072164535522461,0.1975887566804886,18672.9140625,321630944.0,6932.86181640625,104367.25,0.4445095658302307,0.02744581550359726,0.9725542068481445,0.01091408301726915,0.078125,0.0390625,0.1015625,0.1640625,0.046875,0.015625,0.125,0.0703125,0.203125,0.15625,0.9609375
29,Retraining,30.0,Retraining,Retraining,46978.015625,1500.208251953125,0.5238727927207947,0.017466861754655838,18603.2890625,69083480.0,5338.7353515625,97910.2734375,0.13216225802898407,0.028476569801568985,0.9715234041213989,0.011116000008769333,0.078125,0.0390625,0.1015625,0.1640625,0.046875,0.015625,0.125,0.0703125,0.203125,0.15625,0.9609375
30,Retraining,31.0,Retraining,Retraining,46607.078125,1500.12158203125,0.5399568676948547,0.011320614255964756,18599.478515625,73114368.0,6748.845703125,101821.1953125,0.10639837384223938,0.029497213661670685,0.9705027937889099,0.011162874987348914,0.09375,0.0546875,0.1015625,0.1640625,0.046875,0.015625,0.109375,0.0703125,0.1875,0.15625,0.9453125
31,Retraining,32.0,Retraining,Retraining,46489.0390625,1500.6279296875,0.5452013611793518,0.001217070035636425,18624.20703125,-28243976.0,8095.7744140625,100002.203125,-0.03488653153181076,0.029741112142801285,0.970258891582489,0.010925125010544434,0.09375,0.0546875,0.1015625,0.1640625,0.046875,0.015625,0.109375,0.0703125,0.1875,0.15625,0.9453125
32,Retraining,33.0,Retraining,Retraining,46614.4375,1503.880615234375,0.5398663282394409,0.11689198017120361,18553.001953125,-176827088.0,5721.53662109375,90394.859375,-0.3418946862220764,0.029248090460896492,0.9707518815994263,0.010134333017049357,0.09375,0.0390625,0.1015625,0.1640625,0.046875,0.015625,0.109375,0.0703125,0.203125,0.15625,0.9609375
33,Retraining,34.0,Retraining,Retraining,46207.1953125,1507.0245361328125,0.5257818102836609,0.1480976939201355,18556.982421875,-227133088.0,6648.791015625,88769.46875,-0.3848346173763275,0.02817511558532715,0.9718248844146729,0.010739749995991588,0.09375,0.0390625,0.1015625,0.1640625,0.046875,0.0078125,0.1171875,0.0703125,0.203125,0.15625,0.9609375
34,Retraining,35.0,Retraining,Retraining,46563.9765625,1511.63623046875,0.5097661018371582,0.012873643077909946,18539.767578125,-68681024.0,6867.2548828125,88146.046875,-0.11346207559108734,0.027043133974075317,0.9729568958282471,0.011298750003334135,0.09375,0.0390625,0.1015625,0.171875,0.046875,0.0078125,0.1171875,0.0703125,0.1953125,0.15625,0.9609375
35,Retraining,36.0,Retraining,Retraining,47111.5078125,1516.919921875,0.5041056275367737,0.00801930297166109,18548.134765625,63779620.0,7637.654296875,93251.015625,0.08955056220293045,0.026672128587961197,0.9733278751373291,0.00918879100936465,0.0859375,0.0390625,0.1015625,0.171875,0.046875,0.0078125,0.125,0.0703125,0.1953125,0.15625,0.9609375
36,Retraining,37.0,Retraining,Retraining,46758.53515625,1521.78955078125,0.5035600066184998,0.11573730409145355,18504.64453125,212466832.0,6528.591796875,95661.0078125,0.34020185470581055,0.026689939200878143,0.9733100533485413,0.008923917019274086,0.0859375,0.0390625,0.1015625,0.171875,0.046875,0.0078125,0.125,0.0703125,0.1953125,0.15625,0.9609375
