Step,Reconstruction Loss,KL Loss,Uniformity Loss,Orthogonality Loss,Total Loss,Time,Entropy,Margin,0 Fraction,1 Fraction
1.0,29253.47421875,16215.931640625,4.952310085296631,0.9451453804969787,51366.86132516861,0.0338523387908935,0.1744372695684433,0.10899266600608823,0.70078125,0.29921875
2.0,20779.2126953125,8224.8025390625,0.5278975874185562,114.0949800491333,143626.89287092685,0.022802448272705028,0.052126016095280614,0.03439319897443052,0.96640625,0.03359375
3.0,60567.812109375,17351.77275390625,0.05534842766646757,0.9883440136909485,78963.27730463867,0.03263711929321287,0.019406084902584508,0.01695112157613034,0.9953125,0.0046875
4.0,19159.1736328125,8094.921728515625,0.008637403502370921,38.729713547229764,65992.44631206026,0.02316193580627437,0.011865026969462589,0.01113973520696158,0.99921875,0.00078125
5.0,67782.046484375,16444.6056640625,0.0036262820417050285,0.9906136572360993,85220.8920877153,0.03212804794311519,0.013620433025062047,0.01304941978305573,1.0,0.0
6.0,24318.62421875,7735.23740234375,0.0009176425670567237,73.95349998474121,106008.27924840202,0.02297952175140377,0.010742999985814048,0.010314666759222709,1.0,0.0
7.0,47906.754296875,15192.84013671875,0.00022572535681595105,0.9681364953517914,64067.956654302354,0.032320213317871035,0.010440484434366178,0.010054730065166908,1.0,0.0
8.0,20743.9419921875,7299.603955078125,4.908619292062699e-05,63.24556455612183,91289.15958958036,0.02289700508117671,0.01127382498234504,0.010863305442035159,1.0,0.0
9.0,50054.844140625,14798.34931640625,2.915751633309643e-05,0.9782336771488189,65831.4562916964,0.031849479675292905,0.010093301534652672,0.00982025759294625,1.0,0.0
10.0,21669.330859375,7220.900048828125,1.5371098566774323e-05,42.059256362915036,70949.50264221673,0.023293757438659638,0.01046985592693083,0.010226941481232592,1.0,0.0
11.0,48944.28359375,14783.87724609375,8.654046775458112e-06,0.9605856120586396,64688.75510594916,0.03183760643005366,0.01052049910649651,0.01027090838178988,1.0,0.0
12.0,20787.033203125,7233.58427734375,4.213204040381946e-06,31.011849880218506,59032.47157389129,0.02281517982482907,0.01092354562133545,0.010569421667605581,1.0,0.0
13.0,46406.46796875,14921.11474609375,2.4239421050009647e-06,0.912891399860382,62240.476538646246,0.032017445564269977,0.01029493166133757,0.01001413296908134,1.0,0.0
14.0,20350.2814453125,7306.90986328125,1.7710180825525334e-06,16.89041292667389,44547.60600628572,0.0227279186248779,0.01028305282816287,0.00992752090096468,1.0,0.0
15.0,46542.98046875,15086.080078125,1.5419951444328728e-06,0.8963297426700592,62525.3918315402,0.032185816764831496,0.00989686381071801,0.009571827016770791,1.0,0.0
16.0,20125.8822265625,7254.798974609375,1.592464422994766e-06,8.861609601974488,36242.292395610784,0.02283587455749508,0.0101019816473126,0.009897285699844322,1.0,0.0
17.0,45697.133984375,14909.47822265625,1.921298499851787e-06,0.870857971906662,61477.47210023641,0.032053518295288054,0.01002043969929214,0.00967164058238264,1.0,0.0
18.0,19798.8998046875,7255.7951171875,2.2344936094320643e-06,6.348234611749649,33402.93176811826,0.02280640602111813,0.00995661821216339,0.009759334754198708,1.0,0.0
19.0,47417.383984375,14997.155859375,2.8117205358668685e-06,0.9160302579402924,63330.572913410826,0.031935095787048305,0.00994535796344274,0.00967534957453604,1.0,0.0
20.0,19492.8853515625,7227.874365234375,3.0302127140835466e-06,8.872006046772004,35592.76879378159,0.02277152538299556,0.010258378367870993,0.01002826886251563,1.0,0.0
21.0,46379.74765625,15152.9708984375,3.279520250298873e-06,0.8801318585872651,62412.85369279501,0.03228626251220699,0.01072860024869437,0.01050900109112259,1.0,0.0
22.0,19396.4458984375,7402.533642578125,3.3061478001528142e-06,12.255573344230651,39054.55619139407,0.02283427715301507,0.01129749370738858,0.010973774548619942,1.0,0.0
23.0,46712.908984375,15569.434375,3.6027212733102942e-06,0.8162487834692002,63098.59574556547,0.032034182548522895,0.01209830641746516,0.011666170228272642,1.0,0.0
24.0,19211.9728515625,7599.68642578125,4.404483106057455e-06,9.042937064170838,35854.60074599769,0.02284870147705073,0.01160790743306275,0.01118777440860862,1.0,0.0
25.0,45278.782421875,15844.53330078125,5.863429226238282e-06,0.8701175928115845,61993.43917889707,0.03198683261871334,0.011295308265835,0.010894782748073279,1.0,0.0
26.0,18372.538671875,7690.314599609375,7.695590505285566e-06,7.856742969155311,33919.603936230196,0.022667646408081017,0.01080874186009163,0.010364845581352679,1.0,0.0
27.0,44086.1546875,16064.7853515625,9.729590291840396e-06,0.7693068563938141,60920.256625046604,0.0318872451782226,0.010748625267296981,0.010305997263640121,1.0,0.0
28.0,18199.9470703125,7877.47431640625,1.2049402377556362e-05,6.746111117303371,32823.5445534245,0.022861719131469675,0.01096191611140962,0.01048795515671367,1.0,0.0
29.0,44240.58671875,16068.62333984375,1.5087853274664553e-05,0.685817402601242,60995.04254904826,0.03315212726593013,0.01148654548451301,0.01103076627477999,1.0,0.0
30.0,17971.9203125,7881.71162109375,1.9073845425404805e-05,2.601592180132866,28455.24318757204,0.0229645729064941,0.01187868742272255,0.01142677608877415,1.0,0.0
31.0,44132.498046875,16441.5193359375,2.5714035534453548e-05,0.6579576790332794,61232.00077588132,0.032190394401550276,0.011650897189974748,0.011191344261169401,1.0,0.0
32.0,17807.4103515625,7792.363525390625,3.4419411467466175e-05,2.5547439754009247,28154.55227176552,0.02290432453155512,0.01144991414621466,0.01096661062911148,1.0,0.0
33.0,44226.128125,16608.65712890625,4.854332335071079e-05,0.6559796988964081,61490.813496126015,0.03238627910614008,0.011178917996585332,0.01066040527075523,1.0,0.0
34.0,17259.2703125,7932.48623046875,6.671697852027462e-05,3.0481894701719283,28240.012730119204,0.022954607009887648,0.01103698322549457,0.010485473182052339,1.0,0.0
35.0,44084.192578125,16656.39609375,8.926459242103599e-05,0.6580196291208267,61398.69756558825,0.03200709819793697,0.01095096878707404,0.01038310686126347,1.0,0.0
36.0,16767.2640625,7967.802978515625,0.00010508012447302645,2.102963387966156,26838.135509106254,0.02273230552673336,0.01103474441915745,0.010460224095731921,1.0,0.0
37.0,43869.187109375,16935.58232421875,0.00011989236127191429,0.4817184776067734,61286.6078035618,0.03201024532318111,0.011250272206962082,0.010669027175754249,1.0,0.0
38.0,16436.105859375,7921.03623046875,0.00012148458219199446,0.9270053536631166,25284.26892808906,0.022717499732971137,0.01174333747476335,0.01115603223443025,1.0,0.0
39.0,43798.778515625,16905.75,0.00012422736256211437,0.34700345173478125,61051.65619472234,0.031958246231079054,0.012392328586429321,0.011811121366918028,1.0,0.0
40.0,16244.74501953125,7874.639453125,0.00013769362416836054,1.0764133282005788,25195.935494480997,0.02292869091033929,0.01306934216991063,0.012459568958729439,1.0,0.0
41.0,42908.4546875,16701.73759765625,0.000163985562573978,0.3972739905118942,60007.630261230726,0.03181076049804684,0.013117370661348049,0.01239495230838653,1.0,0.0
42.0,16420.26103515625,7941.38525390625,0.0001862692471377024,0.5405047610402107,24902.33731934985,0.022790169715881298,0.013664800580590922,0.01282686302438373,1.0,0.0
43.0,43127.655078125,16816.2234375,0.00021152821602751816,0.4327687070792308,60376.858750920255,0.03207390308380122,0.014408963639289108,0.01348322797566647,1.0,0.0
44.0,16249.698828125,7872.98720703125,0.0002398922527504155,1.1806500196456908,25303.57594705469,0.0227340698242187,0.015162895992398232,0.01415478996932502,1.0,0.0
