State Step,Reference Log Step,Method,1 Fraction,Full Dataset Gradient Dot Product,Full Dataset Retain Gradient Norm,Full Dataset Forget Gradient Norm,Full Dataset Cosine Similarity,Absolute Full Dataset Cosine Similarity,Full Dataset Cosine Distance
0,1,Surgery,0.09375,7181.5546875,117.72876739501953,112.49822998046875,0.5422382950782776,0.5422382950782776,0.4577617049217224
1,2,Surgery,0.09375,42104.59375,525.4686279296875,170.82611083984375,0.4690600335597992,0.4690600335597992,0.5309399366378784
2,3,Surgery,0.09375,113486.609375,744.1332397460938,323.895751953125,0.47085654735565186,0.47085654735565186,0.5291434526443481
3,4,Surgery,0.078125,133681.296875,748.4264526367188,346.271728515625,0.515827476978302,0.515827476978302,0.484172523021698
4,5,Surgery,0.0625,168995.5,760.8558349609375,418.2265625,0.5310814380645752,0.5310814380645752,0.4689185619354248
5,6,Surgery,0.0625,166192.796875,719.3295288085938,487.28460693359375,0.4741346538066864,0.4741346538066864,0.5258653163909912
6,7,Surgery,0.0390625,135399.59375,614.9256591796875,582.7440185546875,0.377847820520401,0.377847820520401,0.6221522092819214
7,8,Surgery,0.0390625,75286.703125,481.42645263671875,563.02197265625,0.2777557075023651,0.2777557075023651,0.7222442626953125
8,9,Surgery,0.0390625,63281.2109375,532.3334350585938,515.1995239257812,0.23073610663414001,0.23073610663414001,0.7692638635635376
9,10,Surgery,0.0390625,58246.34765625,577.364501953125,468.1363525390625,0.21549950540065765,0.21549950540065765,0.7845004796981812
10,11,Surgery,0.0390625,65847.0546875,606.8847045898438,444.73248291015625,0.24396714568138123,0.24396714568138123,0.7560328245162964
11,12,Surgery,0.0390625,67224.0625,597.5653686523438,392.6673583984375,0.2864933907985687,0.2864933907985687,0.7135065793991089
12,13,Surgery,0.046875,73814.3359375,548.8236694335938,421.0773620605469,0.319408118724823,0.319408118724823,0.680591881275177
13,14,Surgery,0.046875,99445.3125,567.0120849609375,486.5117492675781,0.3604944348335266,0.3604944348335266,0.6395055651664734
14,15,Surgery,0.0703125,100516.6875,504.8100280761719,523.4703979492188,0.38038039207458496,0.38038039207458496,0.619619607925415
15,16,Surgery,0.0703125,87578.5078125,517.2476806640625,469.0850830078125,0.3609502613544464,0.3609502613544464,0.639049768447876
16,17,Surgery,0.0703125,78471.0859375,533.846435546875,437.12957763671875,0.3362661302089691,0.3362661302089691,0.6637338399887085
17,18,Surgery,0.0703125,65384.953125,593.3870239257812,388.3977966308594,0.28370243310928345,0.28370243310928345,0.7162975668907166
18,19,Surgery,0.0703125,63821.171875,670.5372314453125,359.9438781738281,0.2644277513027191,0.2644277513027191,0.7355722188949585
19,20,Surgery,0.0703125,58121.34765625,677.4038696289062,347.1631164550781,0.24714648723602295,0.24714648723602295,0.752853512763977
20,21,Surgery,0.0703125,59308.57421875,679.0,358.1980895996094,0.243850976228714,0.243850976228714,0.7561490535736084
21,22,Surgery,0.078125,56661.64453125,651.1343994140625,363.2569885253906,0.23955464363098145,0.23955464363098145,0.7604453563690186
22,23,Surgery,0.078125,60791.37890625,616.2907104492188,384.9739074707031,0.2562270760536194,0.2562270760536194,0.7437729239463806
23,24,Surgery,0.078125,80418.0390625,640.9674072265625,437.94549560546875,0.286482036113739,0.286482036113739,0.713517963886261
24,25,Surgery,0.078125,88788.4375,621.2564086914062,486.5764465332031,0.29372069239616394,0.29372069239616394,0.7062792778015137
25,26,Surgery,0.0703125,98631.5703125,610.0484008789062,521.8132934570312,0.30983927845954895,0.30983927845954895,0.6901607513427734
26,27,Surgery,0.0625,103346.140625,628.1644287109375,536.3651733398438,0.3067328631877899,0.3067328631877899,0.6932671070098877
27,28,Surgery,0.0625,110202.828125,651.267333984375,530.6843872070312,0.3188577890396118,0.3188577890396118,0.6811422109603882
28,29,Surgery,0.0625,122393.46875,696.852294921875,529.9803466796875,0.3314040005207062,0.3314040005207062,0.6685960292816162
29,30,Surgery,0.0625,133770.25,734.5739135742188,542.4034423828125,0.3357388377189636,0.3357388377189636,0.6642611622810364
30,31,Surgery,0.046875,150878.859375,753.5492553710938,550.95751953125,0.3634115159511566,0.3634115159511566,0.636588454246521
31,32,Surgery,0.046875,136436.75,748.71484375,512.6927490234375,0.35543304681777954,0.35543304681777954,0.6445669531822205
32,33,Surgery,0.046875,133960.828125,772.2105712890625,489.45440673828125,0.35442954301834106,0.35442954301834106,0.6455704569816589
33,34,Surgery,0.046875,137243.625,787.8038940429688,500.33319091796875,0.34818875789642334,0.34818875789642334,0.6518112421035767
34,35,Surgery,0.046875,148635.109375,800.9883422851562,515.0086059570312,0.3603135943412781,0.3603135943412781,0.6396864056587219
35,36,Surgery,0.046875,150255.953125,821.3065185546875,512.1348266601562,0.357225239276886,0.357225239276886,0.642774760723114
36,37,Surgery,0.046875,154800.609375,828.6383056640625,527.2119750976562,0.3543417453765869,0.3543417453765869,0.6456582546234131
37,38,Surgery,0.046875,165828.71875,854.2666015625,536.5861206054688,0.3617653548717499,0.3617653548717499,0.6382346153259277
38,39,Surgery,0.046875,169825.671875,839.5377807617188,550.4429931640625,0.36749446392059326,0.36749446392059326,0.6325055360794067
39,40,Surgery,0.046875,151797.65625,746.3663940429688,558.6986083984375,0.36402854323387146,0.36402854323387146,0.6359714269638062
40,41,Surgery,0.0546875,125522.5703125,652.75146484375,518.8519897460938,0.3706214427947998,0.3706214427947998,0.6293785572052002
41,42,Surgery,0.0546875,100108.7578125,548.8031616210938,475.29583740234375,0.3837881088256836,0.3837881088256836,0.6162118911743164
42,43,Surgery,0.0625,90577.1484375,503.36907958984375,461.7812194824219,0.38966894149780273,0.38966894149780273,0.6103310585021973
43,44,Surgery,0.0625,89396.3359375,511.2277526855469,459.63250732421875,0.3804473876953125,0.3804473876953125,0.6195526123046875
44,45,Surgery,0.0625,89399.0703125,516.9603271484375,480.7216491699219,0.359734445810318,0.359734445810318,0.6402655839920044
45,46,Surgery,0.0546875,90613.015625,547.00732421875,459.77593994140625,0.3602890968322754,0.3602890968322754,0.6397109031677246
46,47,Surgery,0.0546875,88651.8515625,559.5140991210938,445.3782043457031,0.35575225949287415,0.35575225949287415,0.6442477703094482
47,48,Surgery,0.046875,106057.5703125,607.9117431640625,481.00323486328125,0.3627047538757324,0.3627047538757324,0.6372952461242676
48,49,Surgery,0.0390625,103692.390625,628.871337890625,463.9099426269531,0.35542774200439453,0.35542774200439453,0.6445722579956055
49,50,Surgery,0.0390625,108112.3203125,680.286865234375,455.35467529296875,0.34900638461112976,0.34900638461112976,0.6509935855865479
50,51,Surgery,0.0390625,119251.0234375,733.8948974609375,465.42523193359375,0.34912288188934326,0.34912288188934326,0.6508771181106567
51,52,Surgery,0.03125,138532.796875,797.3887329101562,486.0648498535156,0.3574277460575104,0.3574277460575104,0.642572283744812
52,53,Surgery,0.03125,148238.765625,804.6734008789062,511.13739013671875,0.36041635274887085,0.36041635274887085,0.6395836472511292
