Step,Update,Next Update Number,Next Update,Method,Reconstruction Loss,KL Loss,Uniformity Loss,Orthogonality Loss,Total Loss,Gradient Dot Product,Retain Gradient Norm,Forget Gradient Norm,Cosine Similarity,Mean 1 Probability,1 - Mean 1 Probability,Time,0 Fraction,1 Fraction,2 Fraction,3 Fraction,4 Fraction,5 Fraction,6 Fraction,7 Fraction,8 Fraction,9 Fraction,1 - Fraction
12,S,13.0,UNO,UNO-S,88889.109375,1702.937744140625,0.679923415184021,0.0023842451628297567,40853.515625,-457877088.0,105654.046875,88753.875,-0.04882873222231865,0.03715568035840988,0.9628443121910095,0.01595208400976844,0.078125,0.0625,0.1015625,0.078125,0.15625,0.015625,0.125,0.0703125,0.25,0.0625,0.9375
13,UNO,14.0,S,UNO-S,91886.34375,1723.935302734375,0.6459977626800537,0.0028109720442444086,39528.16015625,467652768.0,103485.5625,85234.5234375,0.05301859974861145,0.0340392142534256,0.9659608006477356,0.009471083001699299,0.078125,0.046875,0.1015625,0.0546875,0.171875,0.015625,0.125,0.0703125,0.28125,0.0546875,0.953125
14,S,15.0,UNO,UNO-S,94581.7109375,1744.146484375,0.6182674169540405,0.0029014279134571552,43481.91796875,517028160.0,107305.625,89451.1328125,0.05386490374803543,0.031355179846286774,0.9686447978019714,0.01625104100094177,0.078125,0.0390625,0.1015625,0.046875,0.171875,0.015625,0.125,0.0703125,0.2890625,0.0625,0.9609375
15,UNO,16.0,S,UNO-S,96858.78125,1763.355224609375,0.6021454334259033,0.0002232934784842655,42152.93359375,144055072.0,108053.546875,89217.7734375,0.014943007379770279,0.029568295925855637,0.9704316854476929,0.01028841600054875,0.078125,0.03125,0.1015625,0.046875,0.1796875,0.015625,0.125,0.0703125,0.296875,0.0546875,0.96875
16,S,17.0,UNO,UNO-S,99269.359375,1781.5330810546875,0.5898952484130859,0.0025383736938238144,45362.5078125,466682336.0,107848.2734375,85887.5859375,0.05038227513432503,0.028111249208450317,0.9718887805938721,0.01797587500186637,0.078125,0.03125,0.1015625,0.03125,0.1796875,0.015625,0.125,0.0703125,0.3125,0.0546875,0.96875
17,UNO,18.0,S,UNO-S,100872.453125,1798.723388671875,0.582809329032898,0.0018180730985477567,43732.80078125,410959680.0,105990.5,90934.0703125,0.0426388680934906,0.027146311476826668,0.9728536605834961,0.011136457993416116,0.078125,0.03125,0.1015625,0.03125,0.171875,0.015625,0.125,0.0703125,0.3203125,0.0546875,0.96875
18,S,19.0,UNO,UNO-S,101124.671875,1814.831298828125,0.5768595337867737,0.002692658919841051,46535.7109375,481564352.0,102606.8828125,90445.5390625,0.05189083516597748,0.02633669041097164,0.973663330078125,0.017493791005108505,0.078125,0.03125,0.1015625,0.015625,0.171875,0.0078125,0.125,0.0703125,0.34375,0.0546875,0.96875
19,UNO,20.0,S,UNO-S,102733.15625,1831.2835693359375,0.5753201246261597,0.0006763704586774111,44466.72265625,-253340096.0,102238.4296875,95279.0390625,-0.026007123291492462,0.025967605412006378,0.9740324020385742,0.010657208011252806,0.078125,0.03125,0.1015625,0.015625,0.171875,0.0078125,0.125,0.0703125,0.34375,0.0546875,0.96875
20,S,21.0,UNO,UNO-S,103259.4375,1846.51904296875,0.5738599300384521,2.847404539352283e-05,44549.078125,50570528.0,99966.4453125,94802.28125,0.005336107686161995,0.025668703019618988,0.9743313193321228,0.017789291974622756,0.078125,0.03125,0.1015625,0.015625,0.1640625,0.0078125,0.125,0.0703125,0.34375,0.0625,0.96875
21,UNO,22.0,S,UNO-S,103524.515625,1860.617919921875,0.573535144329071,6.211598520167172e-05,44449.265625,75278016.0,98432.8515625,97034.578125,0.007881369441747665,0.025500435382127762,0.9744995832443237,0.010098167025716975,0.078125,0.03125,0.1015625,0.015625,0.1640625,0.0078125,0.125,0.0703125,0.34375,0.0625,0.96875
22,S,23.0,UNO,UNO-S,103881.0078125,1873.50341796875,0.5736508369445801,0.0003473874239716679,44782.296875,-181435008.0,98750.0625,98577.1953125,-0.018638331443071365,0.025390509516000748,0.9746094942092896,0.01756591600133106,0.078125,0.03125,0.1015625,0.015625,0.1640625,0.0078125,0.125,0.0703125,0.34375,0.0625,0.96875
23,UNO,24.0,S,UNO-S,103574.421875,1884.9298095703125,0.5717092156410217,3.709600059664808e-05,44350.171875,57176672.0,96601.6484375,97178.5390625,0.0060906484723091125,0.025147605687379837,0.9748523831367493,0.008963792002759874,0.078125,0.03125,0.1015625,0.015625,0.1640625,0.0078125,0.125,0.0703125,0.34375,0.0625,0.96875
24,S,25.0,UNO,UNO-S,103679.765625,1895.3587646484375,0.5694869756698608,0.0023846421390771866,46455.37890625,-468212416.0,94477.8828125,101484.859375,-0.04883279651403427,0.024927079677581787,0.9750729203224182,0.016957415995420888,0.078125,0.03125,0.1015625,0.015625,0.1640625,0.0078125,0.125,0.0703125,0.34375,0.0625,0.96875
25,UNO,26.0,S,UNO-S,103725.8671875,1904.41943359375,0.5598957538604736,0.00037790575879625976,43879.35546875,-179421536.0,91155.8125,101250.7578125,-0.01943979784846306,0.024181317538022995,0.9758186936378479,0.01096712501021102,0.078125,0.0234375,0.1015625,0.015625,0.1640625,0.0078125,0.125,0.0703125,0.3515625,0.0625,0.9765625
26,S,27.0,UNO,UNO-S,103874.953125,1912.6510009765625,0.5510096549987793,0.00028100761119276285,43965.234375,-153411648.0,89642.3359375,102090.75,-0.01676328107714653,0.023520002141594887,0.9764800071716309,0.016188458015676588,0.078125,0.015625,0.1015625,0.015625,0.1640625,0.0078125,0.125,0.0703125,0.359375,0.0625,0.984375
27,UNO,28.0,S,UNO-S,103123.390625,1920.155029296875,0.5405438542366028,9.462773959967308e-06,43171.50390625,28674048.0,93047.0546875,100179.3125,0.003076162189245224,0.022759664803743362,0.9772403240203857,0.0099445000232663,0.078125,0.015625,0.1015625,0.015625,0.1640625,0.0078125,0.125,0.0703125,0.359375,0.0625,0.984375
28,S,29.0,UNO,UNO-S,103635.9375,1926.94775390625,0.5308184623718262,7.99692134023644e-06,43174.87890625,27245504.0,92463.7421875,104198.8671875,0.002827882766723633,0.02208281122148037,0.9779171943664551,0.016009792016120628,0.078125,0.015625,0.1015625,0.015625,0.1640625,0.0078125,0.125,0.0703125,0.359375,0.0625,0.984375
29,UNO,30.0,S,UNO-S,102342.59375,1933.2318115234375,0.5217963457107544,0.000814188679214567,42366.5,252129248.0,88199.8046875,100182.765625,0.028533991426229477,0.02149190381169319,0.9785081148147583,0.010324333008611575,0.078125,0.015625,0.1015625,0.015625,0.1640625,0.0078125,0.125,0.0703125,0.359375,0.0625,0.984375
30,S,31.0,UNO,UNO-S,102128.5078125,1938.86865234375,0.513312578201294,0.0009704562253318727,42939.15234375,268611200.0,88834.375,97063.296875,0.03115214593708515,0.02096099592745304,0.9790390133857727,0.016017624991945922,0.078125,0.015625,0.1015625,0.015625,0.1640625,0.0078125,0.125,0.0703125,0.359375,0.0625,0.984375
31,UNO,32.0,S,UNO-S,101452.7421875,1943.9564208984375,0.5092599987983704,0.0032976148650050163,41488.75,491559552.0,84266.09375,101583.515625,0.05742486193776131,0.02080848440527916,0.9791915416717529,0.010332541016396135,0.078125,0.015625,0.1015625,0.015625,0.1640625,0.0078125,0.125,0.0703125,0.359375,0.0625,0.984375
32,S,33.0,UNO,UNO-S,100909.609375,1948.5440673828125,0.5053690671920776,0.00047567192814312875,41417.56640625,177290880.0,83309.9375,97574.3828125,0.021809903904795647,0.0206888597458601,0.9793111681938171,0.016636667016427964,0.078125,0.015625,0.1015625,0.015625,0.1640625,0.0078125,0.125,0.0703125,0.359375,0.0625,0.984375
33,UNO,34.0,S,UNO-S,99821.90625,1952.69091796875,0.5049214959144592,0.0005170690710656345,40343.96484375,196455344.0,84246.8203125,102550.1328125,0.02273915335536003,0.020861193537712097,0.9791387915611267,0.00976862499373965,0.078125,0.015625,0.1015625,0.0234375,0.1640625,0.0078125,0.125,0.0703125,0.359375,0.0546875,0.984375
34,S,35.0,UNO,UNO-S,99154.984375,1956.43212890625,0.5044955611228943,0.0004090693255420774,40249.98046875,170476992.0,82979.96875,101576.7421875,0.020225461572408676,0.021051330491900444,0.9789486527442932,0.016623292001895607,0.078125,0.015625,0.1015625,0.03125,0.1640625,0.0078125,0.125,0.0703125,0.3515625,0.0546875,0.984375
35,UNO,36.0,S,UNO-S,97842.640625,1959.6396484375,0.5062400102615356,0.0008793937158770859,39251.08984375,246340768.0,81055.7890625,102485.0859375,0.029654573649168015,0.021448947489261627,0.9785510301589966,0.009628499974496663,0.078125,0.015625,0.1015625,0.03125,0.1640625,0.0078125,0.125,0.0703125,0.3515625,0.0546875,0.984375
36,S,37.0,UNO,UNO-S,97080.625,1962.512939453125,0.5064435601234436,0.001847503357566893,40409.14453125,341393440.0,76451.2890625,103890.9453125,0.042982593178749084,0.021735329180955887,0.9782646894454956,0.015101791999768466,0.078125,0.015625,0.1015625,0.03125,0.1640625,0.0078125,0.125,0.0703125,0.3515625,0.0546875,0.984375
37,UNO,38.0,S,UNO-S,96197.125,1964.777099609375,0.5127960443496704,0.0003528630768414587,38033.37890625,-143765472.0,74586.7421875,102610.046875,-0.018784649670124054,0.022504229098558426,0.9774957895278931,0.009942500008037314,0.078125,0.015625,0.1015625,0.0390625,0.1484375,0.0078125,0.125,0.0703125,0.34375,0.0703125,0.984375
38,S,39.0,UNO,UNO-S,95035.625,1966.757568359375,0.5180475115776062,7.035775070107775e-06,37605.46484375,-20179808.0,73689.6953125,103241.515625,-0.002652503550052643,0.023179559037089348,0.9768204689025879,0.016091083991341293,0.078125,0.015625,0.1015625,0.0390625,0.1484375,0.0078125,0.125,0.0703125,0.34375,0.0703125,0.984375
39,UNO,40.0,S,UNO-S,94182.0546875,1968.560302734375,0.5215581059455872,0.0005215482669882476,37027.43359375,-166251968.0,71814.5234375,101369.453125,-0.022837430238723755,0.023721911013126373,0.9762780666351318,0.019113749993266538,0.078125,0.0234375,0.1015625,0.046875,0.1484375,0.0078125,0.125,0.0703125,0.328125,0.0703125,0.9765625
40,S,41.0,UNO,UNO-S,92997.9921875,1970.129638671875,0.5246230363845825,0.0012356761144474149,37710.8984375,-259163760.0,70988.6484375,103856.34375,-0.03515218570828438,0.02421603724360466,0.9757839441299438,0.015244250011164695,0.078125,0.0234375,0.1015625,0.0546875,0.1484375,0.0078125,0.125,0.0703125,0.3203125,0.0703125,0.9765625
41,UNO,42.0,S,UNO-S,92002.9375,1971.0810546875,0.5199568867683411,0.000658170145470649,35907.09765625,-177971392.0,66984.640625,103563.2890625,-0.025654826313257217,0.024099629372358322,0.9759003520011902,0.008820333023322746,0.078125,0.0234375,0.1015625,0.0703125,0.1484375,0.0078125,0.125,0.0703125,0.3046875,0.0703125,0.9765625
42,S,43.0,UNO,UNO-S,91104.875,1971.8612060546875,0.5151923894882202,0.0012343944981694221,36610.84375,-240224256.0,66538.390625,102758.4609375,-0.03513395041227341,0.023963846266269684,0.9760361313819885,0.014369874988915399,0.078125,0.0234375,0.1015625,0.0703125,0.140625,0.0078125,0.125,0.0703125,0.3046875,0.078125,0.9765625
43,UNO,44.0,S,UNO-S,90661.8515625,1972.1187744140625,0.5041599869728088,0.0014723694184795022,35003.89453125,-255555168.0,65339.72265625,101929.25,-0.03837146610021591,0.023340540006756783,0.9766594767570496,0.02007983298972249,0.078125,0.015625,0.1015625,0.078125,0.1328125,0.0,0.125,0.0703125,0.3125,0.0859375,0.984375
