Step,Total Loss,Time,0 Fraction,1 Fraction,Orthogonality Loss
0.0,0.13286404098279483,0.5490796125534438,0.012806248474865698,0.012806248474865708,0.19927336038256974
0.0,0.1110332881928474,0.008043801491201617,0.06477653896280658,0.06477653896280659,0.16718782050596995
0.0,0.11472920444671011,0.007008889510311352,0.276702005775166,0.276702005775166,0.15254230280215308
0.0,0.15221181627498656,0.0068481296286200056,0.036000000000000004,0.036,0.0550639232266644
0.0,0.10891732245306328,0.0072166947810588964,0.0,0.0,0.09933393206517444
0.0,0.09821981187936128,0.01154635293770079,0.0,0.0,0.09487679371249809
0.0,0.07148398761264084,0.017035732726948555,0.0,0.0,0.07032993022180184
0.0,0.07818565248719815,0.00827368142401221,0.0,0.0,0.08687228370527242
0.0,0.0996264082217758,0.013353009951334895,0.0,0.0,0.05104023542814527
0.0,0.10970019779466332,0.005556290222003225,0.0,0.0,0.029393345351089235
0.0,0.08493932129644244,0.010239509744526998,0.0,0.0,0.04466796211591406
0.0,0.07384557614180326,0.01581137548744903,0.0,0.0,0.03279957087889751
0.0,0.13342037299031384,0.006406260020859802,0.02399999999999999,0.024000000000000004,0.11802640882469519
0.0,0.10836108118974633,0.011013380285422978,0.03583294573433783,0.03583294573433783,0.04644824449484219
0.0,0.10604839709627274,0.009115669072654256,0.036660605559646724,0.03666060555964672,0.05528305992485547
0.0,0.1255315221795855,0.005984565113939258,0.04770744176750626,0.047707441767506256,0.0668438567338431
0.0,0.09119598061898514,0.015784853839724177,0.047328638264796934,0.047328638264796934,0.11405631416400129
0.0,0.1209828584721943,0.010596312251816082,0.018330302779823376,0.01833030277982336,0.03629030115015126
0.0,0.13101124341495732,0.014111406325265129,0.025377155080899032,0.025377155080899043,0.06272755081620479
0.0,0.186401374493717,0.014847790025982776,0.03072458299147443,0.030724582991474434,0.05183048217922016
0.0,0.08521981859723364,0.017453753639202235,0.03469870314579493,0.03469870314579495,0.04368807849545272
0.0,0.1808558950790165,0.013550242725810952,0.05571355310873649,0.05571355310873648,0.11483611353043853
0.0,0.07894155102848378,0.016549966807066892,0.06374950980203689,0.06374950980203692,0.11099071769253525
0.0,0.09786138183454174,0.011386055760792699,0.05642694391866354,0.05642694391866354,0.09322427103001382
0.0,0.1011209037856968,0.009613897776375046,0.05455272678794343,0.05455272678794343,0.061491783315784344
0.0,0.09563856835037628,0.010858972066767484,0.05043808085167396,0.050438080851673964,0.018400726469634126
0.0,0.05674231047084581,0.022007887737997233,0.05782732917920382,0.05782732917920383,0.04384257166359483
0.0,0.08465134442635748,0.012159664865728689,0.07045565981523413,0.07045565981523415,0.12019325605480224
0.0,0.12868108196460012,0.009282405912807393,0.06539113089708724,0.06539113089708726,0.056495168892818984
0.0,0.06239033647926777,0.012255865204692972,0.084970583144992,0.084970583144992,0.06627002062533904
0.0,0.13460482934547124,0.020290302025455648,0.07332121111929343,0.07332121111929345,0.030175425882143392
0.0,0.10183596249395638,0.011636723489800362,0.05499090833947006,0.054990908339470075,0.054003076208237126
0.0,0.07314414758229078,0.006786936823189069,0.074,0.074,0.013112683948358076
0.0,0.12743337657217202,0.01623870032595688,0.058957611891934686,0.05895761189193471,0.05903767798680901
0.0,0.06098580956545895,0.014930184089357323,0.06572670690061991,0.06572670690061994,0.0828239586373322
0.0,0.06897258345015107,0.008657763673783875,0.06560487786742689,0.0656048778674269,0.06897592748110312
0.0,0.08165987101042661,0.016791233021136567,0.07756287771866126,0.07756287771866127,0.026352046386591086
0.0,0.08054195206081743,0.008531123916036588,0.07539230729988305,0.07539230729988307,0.04541139501080884
0.0,0.09074523626868343,0.009878189194756918,0.08345058418010026,0.08345058418010026,0.034598021729947456
0.0,0.08137973938393808,0.006929070664409541,0.07851114570556209,0.0785111457055621,0.062343674495387816
0.0,0.0814882171250867,0.010189739771977884,0.09210863151735565,0.09210863151735564,0.048423935206823455
0.0,0.05109896802911934,0.017833970730463278,0.06053098380168622,0.06053098380168622,0.06285930124682455
0.0,0.09497371344720676,0.011513827177877856,0.060959002616512666,0.06095900261651268,0.02273859823093156
0.0,0.13509925120737737,0.012284817926100451,0.0553172667437573,0.05531726674375732,0.012180141138105671
0.0,0.0797521463268657,0.012264247643376908,0.03555277766926235,0.035552777669262355,0.057708967058438004
0.0,0.15806056290592974,0.006303251928753742,0.05599999999999998,0.05600000000000001,0.021191884094921717
0.0,0.09726439194495903,0.006567646661661195,0.051419840528729735,0.05141984052872976,0.018053027106677864
0.0,0.11471722139950727,0.009605669778221493,0.06260990336999409,0.06260990336999411,0.09738603591855406
0.0,0.09929507175703442,0.011876074773222427,0.05799999999999999,0.057999999999999996,0.02761432236616702
0.0,0.11169973686765503,0.007460774428261242,0.059497899122574055,0.05949789912257407,0.016064650595210415
0.0,0.045325060297242925,0.011629075111925317,0.05617828762075255,0.05617828762075256,0.03597196951471188
0.0,0.09450442768929623,0.012878114970221928,0.08671793355471519,0.0867179335547152,0.026302395681922865
0.0,0.0916504099915335,0.013869473077710975,0.08187795796183488,0.08187795796183489,0.013763806464190498
0.0,0.1448768196983284,0.01035742020328588,0.08532291603080615,0.08532291603080616,0.024851586170746842
0.0,0.12795293844405967,0.013617557437843607,0.09086253353280438,0.0908625335328044,0.026836783211008727
0.0,0.1133312634671959,0.007294518623253376,0.1095627673984187,0.10956276739841872,0.031070011589265638
0.0,0.137794660612342,0.019442777919485902,0.1083697374731525,0.10836973747315251,0.05350370856991767
0.0,0.09213917122056069,0.01459247282575388,0.09775479527879948,0.09775479527879952,0.05088882040184416
0.0,0.10779077059316505,0.01322883951100027,0.10509043724335719,0.10509043724335722,0.02212756718039335
0.0,0.12265759671486415,0.00998270221949479,0.10229369482035536,0.10229369482035539,0.022945511508389072
0.0,0.07216042481013167,0.009933036590729638,0.13128594745821046,0.13128594745821048,0.03917646805296542
0.0,0.08168714564549122,0.010075214656757954,0.10998181667894015,0.10998181667894015,0.02994751875832853
0.0,0.08332441672035311,0.006495664432418709,0.10658330075579384,0.10658330075579382,0.0195856000139855
0.0,0.07647157738823776,0.009190975432095959,0.088,0.088,0.06766661237823135
0.0,0.15499530376612092,0.01181425239875072,0.08296987405076615,0.08296987405076615,0.05469802140344529
0.0,0.09993055419174161,0.011450795224231055,0.10824047302187847,0.10824047302187847,0.02982312681818269
0.0,0.11669128226567084,0.010920799094578713,0.10600000000000001,0.10600000000000001,0.010683603738930814
0.0,0.07573874244735448,0.009503573804420195,0.09465727652959387,0.09465727652959387,0.002018670330942551
0.0,0.06899236630969634,0.0075211799077358485,0.10476640682967038,0.10476640682967035,0.01932097338214113
0.0,0.09194187024261202,0.0063680029815384375,0.09068627239003707,0.09068627239003707,0.1244022166274418
0.0,0.06633729480628643,0.013239966000616048,0.0725534285888682,0.07255342858886822,0.07256980679603041
0.0,0.08928284112130669,0.01510621874808538,0.08049844718999244,0.08049844718999244,0.04631654734845221
