Step,Reconstruction Loss,KL Loss,Uniformity Loss,Orthogonality Loss,Total Loss,Time,Entropy,Margin,0 Fraction,1 Fraction,2 Fraction,3 Fraction,4 Fraction,5 Fraction,6 Fraction,7 Fraction,8 Fraction,9 Fraction,State Step,Method,Full Dataset Gradient Dot Product,Full Dataset Retain Gradient Norm,Full Dataset Forget Gradient Norm,Full Dataset Cosine Similarity,Absolute Full Dataset Cosine Similarity,Full Dataset Cosine Distance
37,50846.640625,1396.377197265625,0.7996379733085632,0.0285826213657856,52271.60044363141,0.0114929676055908,0.3952935934066772,0.4022390246391296,0.109375,0.0625,0.078125,0.1796875,0.0859375,0.015625,0.140625,0.0546875,0.125,0.1484375,36,UNO-S,28274.224609375,589.3101196289062,375.1622314453125,0.12788738310337067,0.12788738310337067,0.8721126317977905
38,19764.95703125,757.000244140625,0.8007373213768005,0.0109041417017579,20532.861417092383,0.0061485767364501,0.3984662294387817,0.4056057631969452,0.109375,0.0625,0.078125,0.1796875,0.0859375,0.015625,0.140625,0.0546875,0.125,0.1484375,37,UNO-S,22297.193359375,559.94189453125,380.99560546875,0.10451704263687134,0.10451704263687134,0.8954829573631287
39,52478.546875,1399.212646484375,0.8060130476951599,0.0154917789623141,53893.25130044669,0.0102474689483642,0.399135559797287,0.4014158844947815,0.1015625,0.0625,0.0859375,0.171875,0.0859375,0.015625,0.140625,0.0546875,0.1328125,0.1484375,38,UNO-S,32971.38671875,581.21484375,367.34619140625,0.15442760288715363,0.15442760288715363,0.8455724120140076
40,21921.064453125,724.385498046875,0.7910478711128235,1.1978300790360665e-05,22645.461929472665,0.005803108215332,0.3980252742767334,0.4058805108070373,0.09375,0.0625,0.0859375,0.171875,0.0703125,0.015625,0.140625,0.0546875,0.1484375,0.15625,39,UNO-S,39963.77734375,601.3667602539062,380.91796875,0.17445991933345795,0.17445991933345795,0.8255400657653809
41,52821.34375,1420.2584228515625,0.7659732103347778,0.0081794755533337,54249.781648404896,0.009866714477539,0.3966889381408691,0.3935125470161438,0.09375,0.0546875,0.0859375,0.171875,0.0703125,0.015625,0.140625,0.0625,0.15625,0.1484375,40,UNO-S,32324.982421875,566.4959716796875,421.26416015625,0.1354524791240692,0.1354524791240692,0.8645474910736084
42,20971.1640625,746.368896484375,0.7213674783706665,0.0348829589784145,21752.41591796279,0.0048599243164062,0.3964583873748779,0.3923689126968384,0.09375,0.0546875,0.0859375,0.171875,0.0546875,0.015625,0.140625,0.0625,0.15625,0.1640625,41,UNO-S,23023.65625,506.52618408203125,467.82672119140625,0.0971599593758583,0.0971599593758583,0.9028400182723999
43,52388.71484375,1428.606201171875,0.6840308904647827,0.0246296152472496,53841.950660169125,0.0100998878479003,0.3962975442409515,0.3873098492622375,0.09375,0.0546875,0.0859375,0.171875,0.046875,0.015625,0.140625,0.0625,0.15625,0.171875,42,UNO-S,21171.419921875,502.1229248046875,465.76043701171875,0.09052684903144836,0.09052684903144836,0.909473180770874
44,20721.7421875,760.4319458007812,0.6390315294265747,0.0096362326294183,21491.8103659302,0.0049226284027099,0.3997427225112915,0.3808614015579223,0.09375,0.046875,0.0859375,0.171875,0.046875,0.015625,0.140625,0.0546875,0.1640625,0.1796875,43,UNO-S,13137.810546875,465.9918212890625,477.6184387207031,0.0590287484228611,0.0590287484228611,0.9409712553024292
45,51603.3671875,1429.3616943359375,0.6056751608848572,0.0001660250854911,53032.89490692143,0.0105652809143066,0.4035144448280334,0.3802447915077209,0.09375,0.0390625,0.0859375,0.1796875,0.046875,0.015625,0.140625,0.0546875,0.1640625,0.1796875,44,UNO-S,19201.77734375,478.3060302734375,492.3786315917969,0.08153355121612549,0.08153355121612549,0.9184664487838745
46,20533.916015625,759.103515625,0.5823814272880554,0.0079463962465524,21300.965927496552,0.004859447479248,0.4065793454647064,0.3780267834663391,0.09375,0.0390625,0.0859375,0.1796875,0.046875,0.015625,0.140625,0.0546875,0.1640625,0.1796875,45,UNO-S,25159.404296875,515.2616577148438,477.93194580078125,0.10216602683067322,0.10216602683067322,0.8978339433670044
47,53196.2578125,1438.3369140625,0.5817710161209106,1.4278446087701011e-06,54634.59615440711,0.0103249549865722,0.4092541635036468,0.3812254965305328,0.09375,0.0390625,0.0859375,0.1796875,0.0546875,0.015625,0.140625,0.0546875,0.1640625,0.171875,46,UNO-S,31956.36328125,557.7105102539062,472.1856994628906,0.12134885787963867,0.12134885787963867,0.8786511421203613
48,20119.45703125,749.8040161132812,0.5899381041526794,0.0093143200501799,20878.57536741346,0.0052947998046875,0.4102752208709717,0.3851725161075592,0.09375,0.0390625,0.0859375,0.1796875,0.0625,0.015625,0.140625,0.0546875,0.1640625,0.1640625,47,UNO-S,34064.42578125,543.831787109375,507.8625793457031,0.12333610653877258,0.12333610653877258,0.8766639232635498
49,51997.8828125,1428.4788818359375,0.5964316725730896,0.0148909175768494,53441.25261191279,0.0100941658020019,0.410075843334198,0.3836504220962524,0.09375,0.0390625,0.078125,0.1796875,0.0625,0.015625,0.140625,0.0546875,0.171875,0.1640625,48,UNO-S,32338.5859375,559.5486450195312,520.8770751953125,0.11095526069402695,0.11095526069402695,0.8890447616577148
50,20070.51953125,748.3455810546875,0.6146717071533203,0.0923487618565559,20911.213874161243,0.005814790725708,0.4062997102737427,0.3889309465885162,0.09375,0.046875,0.078125,0.1875,0.0703125,0.015625,0.140625,0.0546875,0.1484375,0.1640625,49,UNO-S,24551.76171875,547.7249755859375,503.1366271972656,0.08909107744693756,0.08909107744693756,0.9109089374542236
51,54135.29296875,1469.8509521484375,0.6325873136520386,0.0117129366844892,55616.85685758293,0.0099830627441406,0.4051132500171661,0.3899938464164734,0.09375,0.0546875,0.0859375,0.1875,0.0859375,0.015625,0.140625,0.0546875,0.1328125,0.1484375,50,UNO-S,24367.08984375,574.796875,509.5640869140625,0.08319368958473206,0.08319368958473206,0.9168063402175903
52,20196.6640625,750.4998779296875,0.6399177312850952,0.0182113852351903,20965.37532566488,0.0045621395111083,0.4040218591690063,0.3954852223396301,0.09375,0.0546875,0.0859375,0.1875,0.0859375,0.015625,0.140625,0.0546875,0.1328125,0.1484375,51,UNO-S,17150.810546875,550.961669921875,492.7011413574219,0.06318000704050064,0.06318000704050064,0.9368199706077576
53,42358.40625,1216.7322998046875,0.6376557946205139,0.0002610375813674,43575.399587386055,0.0105202198028564,0.4018375873565674,0.3949528336524963,0.09375,0.0546875,0.0859375,0.1875,0.1015625,0.015625,0.140625,0.0546875,0.1328125,0.1328125,52,UNO-S,21740.548828125,555.8951416015625,539.5653076171875,0.07248257100582123,0.07248257100582123,0.9275174140930176
