Step,Reconstruction Loss,KL Loss,Uniformity Loss,Orthogonality Loss,Total Loss,Time,Entropy,Margin,0 Fraction,1 Fraction,2 Fraction,3 Fraction,4 Fraction,5 Fraction,6 Fraction,7 Fraction,8 Fraction,9 Fraction,State Step,Method,Full Dataset Gradient Dot Product,Full Dataset Retain Gradient Norm,Full Dataset Forget Gradient Norm,Full Dataset Cosine Similarity,Absolute Full Dataset Cosine Similarity,Full Dataset Cosine Distance
1,0,0,1.0583581924438477,0,0.0,0.1012499332427978,0.432269811630249,0.4554346799850464,0.09375,0.078125,0.03125,0.0859375,0.0625,0.0390625,0.125,0.0390625,0.234375,0.2109375,0,Retraining,7174.974609375,116.74788665771484,112.23868560791016,0.5475561618804932,0.5475561618804932,0.45244383811950684
2,0,0,0.927186906337738,0,0.0,0.0040688514709472,0.4474892616271972,0.4565370082855224,0.09375,0.0703125,0.0390625,0.09375,0.0859375,0.046875,0.125,0.046875,0.21875,0.1796875,1,Retraining,-16751.17578125,304.6434326171875,217.43624877929688,-0.2528841197490692,0.2528841197490692,1.2528841495513916
3,0,0,0.7399256229400635,0,0.0,0.0035991668701171,0.4502531886100769,0.4463807046413421,0.1015625,0.0546875,0.0390625,0.1171875,0.0859375,0.0390625,0.1171875,0.046875,0.2109375,0.1875,2,Retraining,33620.16015625,435.7200012207031,265.10504150390625,0.29105448722839355,0.29105448722839355,0.7089455127716064
4,0,0,0.6405260562896729,0,0.0,0.0033900737762451,0.4343761205673218,0.4335400462150574,0.1015625,0.03125,0.0390625,0.1328125,0.09375,0.0390625,0.1171875,0.03125,0.21875,0.1953125,3,Retraining,100737.1953125,477.29052734375,402.29620361328125,0.5246396064758301,0.5246396064758301,0.4753603935241699
5,0,0,0.5910826921463013,0,0.0,0.0043168067932128,0.4266404509544372,0.4368174076080322,0.125,0.03125,0.0390625,0.1328125,0.109375,0.015625,0.125,0.03125,0.2109375,0.1796875,4,Retraining,111231.796875,532.7952880859375,444.5388488769531,0.4696332812309265,0.4696332812309265,0.5303667187690735
6,0,0,0.6107416749000549,0,0.0,0.0039031505584716,0.4287804067134857,0.4545122385025024,0.125,0.03125,0.0390625,0.1328125,0.109375,0.015625,0.125,0.03125,0.203125,0.1875,5,Retraining,73099.9375,475.11456298828125,423.2238464355469,0.3635369837284088,0.3635369837284088,0.6364630460739136
7,0,0,0.6576900482177734,0,0.0,0.0038208961486816,0.4333530068397522,0.4520922303199768,0.1484375,0.03125,0.0390625,0.1328125,0.109375,0.015625,0.1171875,0.03125,0.1875,0.1875,6,Retraining,27945.49609375,464.2133483886719,277.5947570800781,0.21686173975467682,0.21686173975467682,0.7831382751464844
8,0,0,0.6790071129798889,0,0.0,0.0036439895629882,0.4406639337539673,0.4624578356742859,0.171875,0.0390625,0.0390625,0.1328125,0.1015625,0.015625,0.1015625,0.03125,0.171875,0.1953125,7,Retraining,11992.3583984375,434.0771789550781,219.383544921875,0.1259312629699707,0.1259312629699707,0.8740687370300293
9,0,0,0.7082535028457642,0,0.0,0.0037198066711425,0.4443773627281189,0.4714129567146301,0.1640625,0.0390625,0.0390625,0.125,0.09375,0.015625,0.109375,0.03125,0.1796875,0.203125,8,Retraining,7498.17333984375,399.8242492675781,252.9425048828125,0.07414203137159348,0.07414203137159348,0.9258579611778259
10,0,0,0.6996061205863953,0,0.0,0.0033216476440429,0.44912850856781,0.4683597683906555,0.1171875,0.0390625,0.046875,0.109375,0.1015625,0.0234375,0.1328125,0.03125,0.203125,0.1953125,9,Retraining,10127.6865234375,371.74371337890625,318.71002197265625,0.08548127114772797,0.08548127114772797,0.9145187139511108
