Step,Reconstruction Loss,KL Loss,Uniformity Loss,Orthogonality Loss,Total Loss,Time,Entropy,Margin,0 Fraction,1 Fraction
1,29043.66015625,16353.2685546875,4.599485397338867,0.6613832712173462,49996.41410827637,0.018002033233642578,0.16812986135482788,0.10026572644710541,0.7265625,0.2734375
2,73891.25,16631.09765625,4.665033340454102,0.9956643581390381,95187.3809967041,0.01668381690979004,0.1797623634338379,0.10950929671525955,0.734375,0.265625
3,36682.671875,16493.998046875,4.262920379638672,0.986358642578125,57439.59030151367,0.016709089279174805,0.17057719826698303,0.09998719394207001,0.7578125,0.2421875
4,48167.6953125,15852.8828125,4.059697151184082,0.9885197281837463,68080.27527618408,0.01666426658630371,0.167532280087471,0.09070383012294769,0.765625,0.234375
5,45383.9921875,15576.20703125,4.07465124130249,0.9929125905036926,65034.85046005249,0.01659870147705078,0.15821059048175812,0.08787855505943298,0.7578125,0.2421875
6,37369.21875,14896.267578125,4.1918816566467285,0.9502888321876526,56457.36798477173,0.016808032989501953,0.15326306223869324,0.09579600393772125,0.7578125,0.2421875
7,39524.73828125,15219.41015625,4.378959655761719,0.9808024168014526,59123.10809326172,0.016770362854003906,0.15499860048294067,0.09624192118644714,0.7265625,0.2734375
8,39684.84375,15700.763671875,4.546597480773926,0.9735856652259827,59932.204902648926,0.01667618751525879,0.16154880821704865,0.10004361718893051,0.734375,0.265625
9,38889.80859375,15621.173828125,4.690825462341309,0.8114960789680481,59201.80788421631,0.016579389572143555,0.16910172998905182,0.10113641619682312,0.71875,0.28125
10,39904.5,15537.59765625,4.767184734344482,0.9506665468215942,60209.28239059448,0.01660442352294922,0.17546410858631134,0.11143992841243744,0.71875,0.28125
11,39411.71875,15614.849609375,4.7582855224609375,0.9650066494941711,59784.85388183594,0.016692399978637695,0.1752958595752716,0.10701748728752136,0.71875,0.28125
12,36347.3984375,15578.939453125,4.730179786682129,0.8017991781234741,56656.51767730713,0.016556978225708008,0.17400774359703064,0.10541164875030518,0.7109375,0.2890625
13,36704.5390625,15703.0,4.6674628257751465,0.8844762444496155,57075.00188827515,0.016538619995117188,0.1720544695854187,0.10268163681030273,0.7265625,0.2734375
14,36063.54296875,15525.7109375,4.66694450378418,0.9610933661460876,56256.19841003418,0.016821622848510742,0.17368997633457184,0.10522890090942383,0.7265625,0.2734375
