Step,Total Loss,Time,0 Fraction,1 Fraction
1,0.005875981878489256,0.452512264251709,0.0,1.0
2,0.010217293165624142,0.36454200744628906,0.0,1.0
3,0.003665556898340583,0.3567988872528076,0.020000000000000018,0.98
4,0.003437326056882739,0.3551137447357178,0.12,0.88
5,0.009462818503379822,0.35706472396850586,0.18000000000000005,0.82
6,0.008063772693276405,0.3526935577392578,0.14,0.86
7,0.0024654280859977007,0.3555619716644287,0.28,0.72
8,0.009905891492962837,0.3582041263580322,0.26,0.74
9,0.0038678105920553207,0.3566162586212158,0.24,0.76
10,0.004637017380446196,0.3584921360015869,0.5,0.5
11,0.0018681923393160105,0.37123775482177734,0.52,0.48
12,0.0043863095343112946,0.3570220470428467,0.48,0.52
13,0.0037429779767990112,0.36392951011657715,0.48,0.52
14,0.003103345399722457,0.36523008346557617,0.6,0.4
15,0.00836976058781147,0.3595728874206543,0.48,0.52
16,0.0057211099192500114,0.3584003448486328,0.64,0.36
17,0.0008598696440458298,0.37120580673217773,0.54,0.46
18,0.002942826598882675,0.360689640045166,0.6799999999999999,0.32
19,0.0034513063728809357,0.3558318614959717,0.76,0.24
20,0.00699876993894577,0.35438966751098633,0.8,0.2
21,0.0070505873300135136,0.3579080104827881,0.92,0.08
22,0.0023446185514330864,0.35933518409729004,0.92,0.08
23,0.003294533584266901,0.35977649688720703,0.9,0.1
24,0.002064069500193,0.35993146896362305,0.96,0.04
25,0.006164474878460169,0.36214208602905273,0.92,0.08
26,0.003745662746950984,0.36123108863830566,0.92,0.08
27,0.003324761288240552,0.35617637634277344,0.8200000000000001,0.18
28,0.004699183627963066,0.35994744300842285,0.84,0.16
29,0.0033401947002857924,0.3586914539337158,0.84,0.16
30,0.004426249302923679,0.36455559730529785,0.78,0.22
31,0.0026613392401486635,0.35926079750061035,0.8,0.2
32,0.003188100177794695,0.3666040897369385,0.8,0.2
33,0.004839655011892319,0.3602752685546875,0.76,0.24
34,0.0018224058439955115,0.3581202030181885,0.78,0.22
35,0.00511559471487999,0.3566298484802246,0.86,0.14
36,0.001805835054256022,0.35665249824523926,0.86,0.14
37,0.0035559951793402433,0.36354613304138184,0.94,0.06
38,0.0027339693624526262,0.362048864364624,0.96,0.04
39,0.0017592505319043994,0.35941624641418457,1.0,0.0
40,0.0013006448280066252,0.360384464263916,0.94,0.06
41,0.00391480652615428,0.36205530166625977,0.98,0.02
42,0.004174783360213041,0.3710153102874756,0.98,0.02
43,0.0031716839876025915,0.35999011993408203,0.98,0.02
44,0.00346235535107553,0.3576986789703369,0.98,0.02
45,0.0023366815876215696,0.35778355598449707,0.98,0.02
46,0.002998561831191182,0.3536496162414551,0.96,0.04
47,0.0027971917297691107,0.35765933990478516,0.98,0.02
48,0.0009240105864591897,0.3567976951599121,0.98,0.02
49,0.0033035415690392256,0.3616611957550049,0.98,0.02
50,0.0017229948425665498,0.35591936111450195,0.96,0.04
51,0.0017056737560778856,0.36777448654174805,0.96,0.04
52,0.0014909135643392801,0.37056708335876465,0.96,0.04
53,0.002775622298941016,0.36725568771362305,0.96,0.04
54,0.0033533230889588594,0.3603811264038086,1.0,0.0
55,0.00203765369951725,0.36099672317504883,0.98,0.02
56,0.003678366541862488,0.35250186920166016,0.96,0.04
57,0.001334747881628573,0.36302709579467773,0.98,0.02
58,0.0023184900637716055,0.3548400402069092,0.96,0.04
59,0.0022816841956228018,0.3587002754211426,0.98,0.02
60,0.0019845617935061455,0.3590824604034424,1.0,0.0
61,0.0053336056880652905,0.35506296157836914,1.0,0.0
62,0.00180781667586416,0.36884641647338867,1.0,0.0
63,0.0026216977275907993,0.35898566246032715,1.0,0.0
64,0.0020573886577039957,0.37229323387145996,1.0,0.0
65,0.0021468631457537413,0.36751222610473633,1.0,0.0
66,0.0012167876120656729,0.36847925186157227,1.0,0.0
67,0.0020112113561481237,0.37324094772338867,1.0,0.0
68,0.002081242622807622,0.3872702121734619,1.0,0.0
69,0.0018385034054517746,0.3648054599761963,1.0,0.0
70,0.00195989734493196,0.3744943141937256,1.0,0.0
71,0.001566119841299951,0.38083815574645996,1.0,0.0
72,0.0015729110455140471,0.37046384811401367,1.0,0.0
73,0.0012365910224616528,0.36236023902893066,1.0,0.0
74,0.004171295557171106,0.368574857711792,1.0,0.0
75,0.001584999612532556,0.3714897632598877,1.0,0.0
76,0.0016574166947975755,0.38329601287841797,1.0,0.0
77,0.002724900608882308,0.37656569480895996,1.0,0.0
78,0.00199561077170074,0.3801441192626953,1.0,0.0
79,0.0019470209954306483,0.36284661293029785,1.0,0.0
80,0.0009419301641173661,0.3571503162384033,1.0,0.0
81,0.0024749175645411015,0.3626370429992676,1.0,0.0
82,0.001952401944436133,0.35836338996887207,1.0,0.0
83,0.0002472316555213183,0.3659358024597168,1.0,0.0
84,0.003420709865167737,0.36493849754333496,1.0,0.0
85,0.0022916875313967466,0.3645973205566406,1.0,0.0
86,0.0017868404975160956,0.36113548278808594,1.0,0.0
87,0.0012375547084957361,0.37586307525634766,1.0,0.0
88,0.0017930641770362854,0.36732959747314453,1.0,0.0
89,0.07518421113491058,0.3717334270477295,1.0,0.0
90,0.002657373435795307,0.36501574516296387,1.0,0.0
91,0.004390294197946787,0.37224817276000977,1.0,0.0
92,0.004210309125483036,0.3652608394622803,1.0,0.0
93,0.003492356976494193,0.3694312572479248,1.0,0.0
94,0.0033942691516131163,0.3675687313079834,1.0,0.0
95,0.003854497103020549,0.3770639896392822,1.0,0.0
96,0.00298108602873981,0.3681764602661133,1.0,0.0
97,0.0036307733971625566,0.37340688705444336,1.0,0.0
98,0.0019409038359299302,0.37539029121398926,1.0,0.0
99,0.001964058494195342,0.3751358985900879,1.0,0.0
100,0.0038479098584502935,0.3675377368927002,1.0,0.0
