Step,Reconstruction Loss,KL Loss,Uniformity Loss,Orthogonality Loss,Total Loss,Time,Entropy,Margin,0 Fraction,1 Fraction,2 Fraction,3 Fraction,4 Fraction,5 Fraction,6 Fraction,7 Fraction,8 Fraction,9 Fraction,State Step,Method,Full Dataset Gradient Dot Product,Full Dataset Retain Gradient Norm,Full Dataset Forget Gradient Norm,Full Dataset Cosine Similarity,Absolute Full Dataset Cosine Similarity,Full Dataset Cosine Distance
17,48775.953125,1465.19287109375,0.4707459211349487,0.0845893248915672,50325.73532098532,0.0110161304473876,0.4053936004638672,0.428240418434143,0.109375,0.0234375,0.1171875,0.125,0.0703125,0.0390625,0.1015625,0.0703125,0.21875,0.125,16,UNO,164915.390625,735.0128784179688,666.294921875,0.33674395084381104,0.33674395084381104,0.663256049156189
18,51718.1015625,1451.3004150390625,0.4938234686851501,0.0015053200768306,53170.90729761589,0.0105829238891601,0.4103380441665649,0.4332018494606018,0.109375,0.0234375,0.1171875,0.125,0.0703125,0.0390625,0.1015625,0.0703125,0.21875,0.125,17,UNO,163451.5,728.6708984375,702.5831298828125,0.31927117705345154,0.31927117705345154,0.6807287931442261
19,51999.8203125,1460.5498046875,0.5217166543006897,0.0331325717270374,53493.50268891454,0.0097236633300781,0.4146228432655334,0.4340342879295349,0.109375,0.0234375,0.1171875,0.1171875,0.0703125,0.0390625,0.1015625,0.0703125,0.2265625,0.125,18,UNO,134748.34375,716.8743286132812,694.9507446289062,0.27047455310821533,0.27047455310821533,0.7295254468917847
20,50481.3984375,1451.1904296875,0.551434338092804,0.0637611374258995,51996.3500046134,0.010660171508789,0.4171766638755798,0.4336135387420654,0.109375,0.03125,0.1171875,0.125,0.0703125,0.0390625,0.1015625,0.0703125,0.2109375,0.125,19,UNO,98619.875,693.7605590820312,639.3966064453125,0.22232303023338318,0.22232303023338318,0.7776769399642944
21,52225.109375,1466.285888671875,0.5785014629364014,0.0135353282094001,53704.930591881275,0.0103158950805664,0.4155091047286987,0.4328967928886413,0.109375,0.03125,0.1171875,0.1328125,0.0625,0.0390625,0.1015625,0.0703125,0.203125,0.1328125,20,UNO,58836.0703125,720.770263671875,551.0983276367188,0.14812135696411133,0.14812135696411133,0.8518786430358887
22,52073.4296875,1450.4208984375,0.6032885313034058,0.0400743074715137,53563.924893409014,0.0127277374267578,0.4108392000198364,0.4281962513923645,0.109375,0.0390625,0.1171875,0.140625,0.0625,0.0390625,0.1015625,0.0703125,0.1875,0.1328125,21,UNO,41257.0625,754.1984252929688,466.5772705078125,0.11724358052015305,0.11724358052015305,0.8827564120292664
23,50682.2421875,1428.809814453125,0.6067659258842468,0.0023716976866126,52113.42369963974,0.0122578144073486,0.4048107266426086,0.4295672178268432,0.109375,0.0390625,0.1171875,0.15625,0.0625,0.0390625,0.1015625,0.0703125,0.171875,0.1328125,22,UNO,36118.74609375,761.0106201171875,419.3076171875,0.11319026350975037,0.11319026350975037,0.8868097066879272
24,50328.828125,1439.04150390625,0.5824074149131775,0.0113938292488455,51779.263458155096,0.0108766555786132,0.4012524783611297,0.4073768258094787,0.109375,0.0390625,0.1171875,0.15625,0.0625,0.0390625,0.1015625,0.0703125,0.171875,0.1328125,23,UNO,58316.2265625,818.615966796875,382.8117370605469,0.18609042465686798,0.18609042465686798,0.8139095902442932
25,50964.12109375,1442.9149169921875,0.5610461235046387,0.0020849925931543,52409.12100333534,0.0105550289154052,0.395447313785553,0.4077320694923401,0.109375,0.0390625,0.1171875,0.15625,0.0625,0.046875,0.1015625,0.0625,0.1640625,0.140625,24,UNO,63352.36328125,800.8588256835938,353.3172607421875,0.22389376163482666,0.22389376163482666,0.7761062383651733
26,50623.2734375,1431.990966796875,0.5243405699729919,0.0152087491005659,52070.47315339744,0.0104179382324218,0.3921346664428711,0.3907047212123871,0.109375,0.0390625,0.1171875,0.1640625,0.0625,0.046875,0.1015625,0.0625,0.15625,0.140625,25,UNO,71055.0859375,797.4793701171875,339.66937255859375,0.2623126804828644,0.2623126804828644,0.737687349319458
