State Step,Reference Log Step,Method,1 Fraction,Full Dataset Gradient Dot Product,Full Dataset Retain Gradient Norm,Full Dataset Forget Gradient Norm,Full Dataset Cosine Similarity,Absolute Full Dataset Cosine Similarity,Full Dataset Cosine Distance
0,1,UNO,0.0625,7420.90771484375,118.01229095458984,115.60088348388672,0.5439620018005371,0.5439620018005371,0.4560379981994629
1,2,UNO,0.0234375,22551.390625,646.0516357421875,189.25779724121094,0.1844387948513031,0.1844387948513031,0.8155611753463745
2,3,UNO,0.0,23659.60546875,667.9115600585938,384.52490234375,0.0921221524477005,0.0921221524477005,0.9078778624534607
3,4,UNO,0.0,24161.1953125,531.9256591796875,559.1019287109375,0.08124122768640518,0.08124122768640518,0.918758749961853
4,5,UNO,0.0,-7642.041015625,513.2596435546875,354.2033386230469,-0.04203581064939499,0.04203581064939499,1.0420358180999756
5,6,UNO,0.0,5541.41015625,553.6927490234375,230.38465881347656,0.0434408113360405,0.0434408113360405,0.9565591812133789
6,7,UNO,0.0,32510.20703125,582.2181396484375,314.8143615722656,0.17736974358558655,0.17736974358558655,0.8226302862167358
7,8,UNO,0.0,25623.5234375,575.7772827148438,354.5069274902344,0.12553349137306213,0.12553349137306213,0.8744665384292603
8,9,UNO,0.0,47016.94921875,594.8963623046875,396.9183349609375,0.1991186887025833,0.1991186887025833,0.8008813261985779
9,10,UNO,0.0,38403.609375,558.9905395507812,386.2310791015625,0.1778772473335266,0.1778772473335266,0.8221227526664734
10,11,UNO,0.0,7838.48681640625,506.5694885253906,306.48211669921875,0.05048799887299538,0.05048799887299538,0.9495120048522949
11,12,UNO,0.0,2048.14892578125,450.2996826171875,303.47076416015625,0.014987975358963013,0.014987975358963013,0.9850120544433594
12,13,UNO,0.0,30757.8046875,495.3234558105469,391.3536071777344,0.1586708128452301,0.1586708128452301,0.8413292169570923
13,14,UNO,0.0,57576.3359375,513.1903076171875,428.5279541015625,0.26181015372276306,0.26181015372276306,0.7381898164749146
14,15,UNO,0.0,73604.453125,551.2291259765625,418.5533447265625,0.31902238726615906,0.31902238726615906,0.6809775829315186
15,16,UNO,0.0,107841.828125,614.8916015625,502.7499084472656,0.3488483726978302,0.3488483726978302,0.6511516571044922
16,17,UNO,0.0,126086.078125,674.2904052734375,538.5299682617188,0.34722447395324707,0.34722447395324707,0.6527755260467529
17,18,UNO,0.0,146477.6875,765.919677734375,606.5787353515625,0.3152833878993988,0.3152833878993988,0.6847165822982788
18,19,UNO,0.0,134397.046875,826.7410888671875,610.431640625,0.26630735397338867,0.26630735397338867,0.7336926460266113
19,20,UNO,0.0,117370.8359375,833.5186767578125,608.7363891601562,0.2313212901353836,0.2313212901353836,0.7686787247657776
20,21,UNO,0.0,103103.3359375,833.7994995117188,621.0131225585938,0.19911788403987885,0.19911788403987885,0.80088210105896
21,22,UNO,0.0,73732.8359375,811.0792846679688,601.6065673828125,0.15110713243484497,0.15110713243484497,0.848892867565155
22,23,UNO,0.0,67720.6953125,804.3343505859375,584.3497314453125,0.14408275485038757,0.14408275485038757,0.85591721534729
23,24,UNO,0.0,63165.7421875,771.7199096679688,553.482177734375,0.14788299798965454,0.14788299798965454,0.8521170020103455
24,25,UNO,0.0,56474.703125,715.564208984375,516.1002807617188,0.15292243659496307,0.15292243659496307,0.8470775485038757
25,26,UNO,0.0,68907.265625,691.8271484375,476.7462158203125,0.20892006158828735,0.20892006158828735,0.7910799384117126
26,27,UNO,0.0,76903.7890625,660.6946411132812,458.0746765136719,0.25410351157188416,0.25410351157188416,0.7458964586257935
27,28,UNO,0.0,73861.8984375,615.675048828125,442.50872802734375,0.2711109519004822,0.2711109519004822,0.7288890480995178
28,29,UNO,0.0,79304.1015625,607.8030395507812,433.14154052734375,0.30123332142829895,0.30123332142829895,0.6987667083740234
29,30,UNO,0.0,83603.34375,630.5712280273438,417.2569580078125,0.3177502751350403,0.3177502751350403,0.6822497248649597
30,31,UNO,0.0,89318.609375,668.5549926757812,424.7035217285156,0.31457120180130005,0.31457120180130005,0.6854287981987
31,32,UNO,0.0,87358.46875,687.861083984375,427.4515686035156,0.29711005091667175,0.29711005091667175,0.7028899192810059
32,33,UNO,0.0,79557.765625,695.8079833984375,429.26171875,0.2663612961769104,0.2663612961769104,0.7336387038230896
33,34,UNO,0.0,81669.0234375,741.9498901367188,436.9476623535156,0.2519146203994751,0.2519146203994751,0.7480853796005249
34,35,UNO,0.0,77482.953125,739.2310180664062,452.1228942871094,0.2318299114704132,0.2318299114704132,0.7681701183319092
35,36,UNO,0.0,79320.90625,760.7380981445312,453.2823791503906,0.23002955317497253,0.23002955317497253,0.7699704170227051
36,37,UNO,0.0,71270.5,756.6694946289062,431.5595703125,0.21825432777404785,0.21825432777404785,0.7817456722259521
37,38,UNO,0.0,69885.0,733.3013305664062,418.79571533203125,0.22756177186965942,0.22756177186965942,0.7724382281303406
38,39,UNO,0.0,71079.828125,702.9600219726562,430.2208251953125,0.23503056168556213,0.23503056168556213,0.7649694681167603
39,40,UNO,0.0,54965.765625,608.3441772460938,408.5701599121094,0.22114457190036774,0.22114457190036774,0.7788554430007935
40,41,UNO,0.0,54874.76171875,576.2114868164062,403.4704284667969,0.23603643476963043,0.23603643476963043,0.7639635801315308
41,42,UNO,0.0,57804.578125,558.458740234375,416.1677551269531,0.24871543049812317,0.24871543049812317,0.7512845993041992
42,43,UNO,0.0,60747.29296875,541.51220703125,417.0362548828125,0.26899537444114685,0.26899537444114685,0.7310045957565308
43,44,UNO,0.0,62051.28125,526.8168334960938,433.0251770019531,0.2720056474208832,0.2720056474208832,0.7279943227767944
44,45,UNO,0.0,54476.5,499.92620849609375,457.4925231933594,0.23818767070770264,0.23818767070770264,0.7618123292922974
45,46,UNO,0.0,48471.89453125,504.70587158203125,494.82720947265625,0.19408772885799408,0.19408772885799408,0.8059122562408447
46,47,UNO,0.0,31658.505859375,520.3322143554688,512.4742431640625,0.11872376501560211,0.11872376501560211,0.8812762498855591
47,48,UNO,0.0,33138.48046875,567.7833862304688,545.3377685546875,0.10702476650476456,0.10702476650476456,0.8929752111434937
48,49,UNO,0.0,27491.453125,560.7147216796875,545.7698974609375,0.08983512967824936,0.08983512967824936,0.9101648926734924
49,50,UNO,0.0,34768.77734375,553.8427124023438,554.0484619140625,0.11330661922693253,0.11330661922693253,0.8866933584213257
50,51,UNO,0.0,33049.78125,498.8468933105469,553.6464233398438,0.11966545134782791,0.11966545134782791,0.8803345561027527
51,52,UNO,0.0,43198.37890625,514.098876953125,542.5383911132812,0.1548781841993332,0.1548781841993332,0.8451218008995056
52,53,UNO,0.0,57453.1796875,557.2915649414062,539.2769165039062,0.19117002189159393,0.19117002189159393,0.8088299632072449
