Step,Total Loss,Time,0 Fraction,1 Fraction
1.0,0.147920661047101,0.9552780628204346,0.002,0.998
2.0,0.17086394056677817,0.7180675745010376,0.01399999999999999,0.9860000000000001
3.0,0.14505458474159239,0.7115881681442261,0.09200000000000001,0.908
4.0,0.16484060212969776,0.7105752229690552,0.132,0.868
5.0,0.20374233424663543,0.7124399662017822,0.22000000000000003,0.78
6.0,0.17878393083810803,0.7119479417800904,0.298,0.7020000000000001
7.0,0.1521750155836344,0.7087128400802613,0.43999999999999995,0.5599999999999999
8.0,0.1156056812033057,0.7109626531600952,0.5199999999999999,0.48
9.0,0.17703017890453338,0.7087963819503784,0.624,0.37600000000000006
10.0,0.18137979283928868,0.7087772607803344,0.728,0.272
11.0,0.14316267408430572,0.709559154510498,0.7780000000000001,0.22199999999999998
12.0,0.12847784161567682,0.7105803728103638,0.85,0.15000000000000002
13.0,0.12968692220747471,0.7153646230697632,0.9020000000000001,0.098
14.0,0.15177450738847253,0.7092325210571289,0.9179999999999999,0.08200000000000002
15.0,0.11890447698533532,0.7107500791549682,0.924,0.076
16.0,0.12077833674848075,0.7094044208526611,0.9339999999999999,0.066
17.0,0.12854030355811116,0.7108949661254883,0.958,0.042
18.0,0.1510641697794199,0.7145206928253174,0.946,0.054000000000000006
19.0,0.19006273075938224,0.7110322475433349,0.9460000000000001,0.054000000000000006
20.0,0.1710663273930549,0.721955943107605,0.9659999999999999,0.033999999999999996
21.0,0.11627979464828964,0.710642147064209,0.958,0.041999999999999996
22.0,0.1562828406691551,0.7101946353912354,0.9560000000000001,0.044
23.0,0.20358929149806496,0.7128573894500733,0.9639999999999999,0.036000000000000004
24.0,0.14691636040806766,0.7111462116241455,0.944,0.05600000000000001
25.0,0.16174523457884785,0.7131969690322876,0.944,0.05600000000000001
26.0,0.1178358750417828,0.7081019878387451,0.944,0.05600000000000001
27.0,0.17175662219524385,0.7119497537612915,0.9479999999999998,0.052000000000000005
28.0,0.1508518487215042,0.7159250020980835,0.944,0.055999999999999994
29.0,0.18589835762977597,0.7102387189865113,0.942,0.05800000000000001
30.0,0.14278199821710585,0.7090897560119629,0.9479999999999998,0.052000000000000005
31.0,0.17421330958604814,0.7079428434371948,0.9279999999999999,0.072
32.0,0.16705082240514454,0.7126745700836181,0.924,0.07600000000000001
33.0,0.13793197795748707,0.7084984540939331,0.93,0.07
34.0,0.21218715310096736,0.7051438570022583,0.924,0.07600000000000001
35.0,0.16059511844068766,0.7100108146667481,0.9279999999999999,0.07200000000000001
36.0,0.18075576946139332,0.7035209894180298,0.9359999999999997,0.06400000000000002
37.0,0.14642788097262377,0.7093227624893188,0.922,0.07800000000000001
38.0,0.19149267747998236,0.7071947574615478,0.908,0.09200000000000001
39.0,0.1481113731861114,0.7049654960632324,0.8819999999999999,0.11800000000000002
40.0,0.1123631566762924,0.7094531774520874,0.8939999999999999,0.10599999999999998
41.0,0.12455709204077717,0.7083484172821045,0.9,0.09999999999999999
42.0,0.12016370370984075,0.7068246603012085,0.892,0.10800000000000001
43.0,0.2028563566505909,0.7058531999588012,0.8860000000000001,0.11400000000000002
44.0,0.13605580329895015,0.7113941192626954,0.908,0.092
45.0,0.14285867884755132,0.7106754302978515,0.8879999999999999,0.11200000000000002
46.0,0.18481384376063942,0.7064577102661133,0.8880000000000001,0.11200000000000002
47.0,0.18613517656922338,0.7081242561340332,0.876,0.12400000000000003
48.0,0.14452740177512166,0.7085315704345703,0.9040000000000001,0.09599999999999999
49.0,0.13646661713719366,0.7067829370498657,0.8860000000000001,0.11400000000000002
50.0,0.11389449015259741,0.7084057569503784,0.9179999999999999,0.08199999999999999
51.0,0.12905015964061017,0.7070694684982299,0.916,0.08399999999999999
52.0,0.15741391628980636,0.7090343952178955,0.9119999999999999,0.088
53.0,0.15209101419895885,0.7112162590026856,0.9259999999999999,0.074
54.0,0.1948875583708286,0.7073944330215454,0.9179999999999999,0.08199999999999999
55.0,0.1482770729809999,0.7088372468948364,0.916,0.08399999999999999
56.0,0.16875185072422025,0.7070917367935181,0.93,0.07
57.0,0.16868603751063346,0.7059173583984375,0.9260000000000002,0.07400000000000001
58.0,0.16162038072943688,0.7071129322052002,0.946,0.054000000000000006
59.0,0.1295959487557411,0.7090168237686157,0.952,0.047999999999999994
60.0,0.10954947285354133,0.7099634408950806,0.946,0.05399999999999999
61.0,0.1093551896512508,0.7120720386505127,0.944,0.05600000000000001
62.0,0.1331641808152198,0.7120558023452759,0.9560000000000001,0.044
63.0,0.1417661346495151,0.7071758270263672,0.9480000000000001,0.052000000000000005
64.0,0.17698587775230407,0.7083165168762207,0.95,0.05
65.0,0.17001713514328,0.71275475025177,0.9599999999999997,0.04
66.0,0.1871724672615528,0.7091472387313843,0.9559999999999998,0.044
67.0,0.19100594408810137,0.7114525079727173,0.95,0.05000000000000001
68.0,0.12709554284811014,0.7090571880340576,0.966,0.033999999999999996
69.0,0.1576016083359718,0.7066824674606323,0.958,0.042
70.0,0.14674063865095374,0.7106068134307861,0.9640000000000001,0.036
71.0,0.15821327790617942,0.7067169427871705,0.954,0.046
72.0,0.17066638171672815,0.7100926399230957,0.9640000000000001,0.03599999999999999
73.0,0.10910741761326788,0.7086842775344848,0.976,0.024
74.0,0.1793298326432705,0.704112458229065,0.9720000000000001,0.028000000000000004
75.0,0.16860003061592574,0.7089714288711548,0.9860000000000001,0.014000000000000002
76.0,0.16163674890995022,0.7110620260238647,0.958,0.042
77.0,0.19760144427418708,0.7113005638122558,0.9720000000000001,0.028000000000000004
78.0,0.13710432387888427,0.7085099220275879,0.9760000000000002,0.024
79.0,0.1502149939537048,0.7102941751480103,0.9640000000000001,0.036
80.0,0.1785897962749004,0.7105386257171631,0.954,0.046
81.0,0.18507738411426541,0.7100428104400635,0.952,0.048
82.0,0.1402324818074703,0.7135441064834595,0.958,0.042
83.0,0.1273567698895931,0.7074238300323487,0.9419999999999998,0.05800000000000001
84.0,0.16289517506957052,0.7112050533294678,0.9480000000000001,0.05199999999999999
85.0,0.15690194331109522,0.7124892473220825,0.954,0.046
86.0,0.17487078607082365,0.7083781719207763,0.9440000000000002,0.05600000000000001
87.0,0.12987396642565724,0.707549262046814,0.938,0.06200000000000001
88.0,0.14299821034073826,0.7086722373962402,0.942,0.05800000000000001
89.0,0.17675436912104486,0.7084699869155884,0.958,0.042
90.0,0.10121958190575238,0.7101672887802124,0.944,0.05600000000000001
91.0,0.13972204402089114,0.7139329195022583,0.9640000000000001,0.036000000000000004
92.0,0.11445644460618491,0.7091352701187134,0.96,0.04
93.0,0.13912027813494202,0.7089210271835327,0.97,0.030000000000000006
94.0,0.13954139500856394,0.7122107982635498,0.9720000000000001,0.028000000000000004
95.0,0.12347342800348995,0.7132797956466674,0.96,0.04
96.0,0.16932805851101873,0.7120521783828735,0.9680000000000002,0.031999999999999994
97.0,0.16615015715360643,0.7122554063796998,0.9599999999999997,0.04
98.0,0.1405152393504977,0.709848690032959,0.968,0.032
