Step,Reconstruction Loss,KL Loss,Uniformity Loss,Orthogonality Loss,Total Loss,Time,FID,IS,Entropy,Margin,0 Fraction,1 Fraction,2 Fraction,3 Fraction,4 Fraction,5 Fraction,6 Fraction,7 Fraction,8 Fraction,9 Fraction
1,39474.47265625,1025.97607421875,5.185029029846191,0.004029576200991869,45689.50733651593,0.01655101776123047,9.416406512405956,2.4545648097991943,0.2076084166765213,0.14365920424461365,0.0,0.3400000035762787,0.0,0.28999999165534973,0.0,0.0,0.0,0.0,0.3700000047683716,0.0
2,35448.0078125,1029.0579833984375,4.334542751312256,0.09079111367464066,40902.399660885334,0.03254389762878418,8.455104309046874,2.3268511295318604,0.19609779119491577,0.2027033567428589,0.0,0.3100000023841858,0.0,0.3100000023841858,0.0,0.0,0.0,0.0,0.3799999952316284,0.0
3,36499.9375,1023.4578857421875,3.20259428024292,0.025060197338461876,40751.04986332357,0.04770493507385254,8.997533683512302,2.136044502258301,0.22458913922309875,0.26524507999420166,0.0,0.20999999344348907,0.0,0.3199999928474426,0.0,0.0,0.0,0.0,0.4699999988079071,0.0
4,39519.9140625,1002.6298828125,1.9917516708374023,0.023520199581980705,42537.81581573188,0.0344388484954834,10.41877522221148,1.937170147895813,0.2493279129266739,0.2887372672557831,0.0,0.09000000357627869,0.0,0.33000001311302185,0.0,0.0,0.0,0.0,0.5799999833106995,0.0
5,37256.046875,1014.7782592773438,1.0404225587844849,0.005304890219122171,39316.55258328095,0.03551220893859863,13.453956980889416,1.7934634685516357,0.2448832392692566,0.23256248235702515,0.0,0.0,0.0,0.33000001311302185,0.0,0.0,0.0,0.0,0.6700000166893005,0.0
6,38126.15625,1043.891357421875,0.5276796221733093,0.022040652111172676,39719.76788170636,0.03602719306945801,13.425463734860578,1.7258272171020508,0.22410698235034943,0.16938915848731995,0.0,0.0,0.0,0.33000001311302185,0.0,0.0,0.0,0.0,0.6700000166893005,0.0
7,38034.2421875,1028.5955810546875,0.31010305881500244,0.010282691568136215,39383.223518937826,0.03698396682739258,15.980025945206606,1.7046961784362793,0.20390307903289795,0.1407298445701599,0.0,0.0,0.0,0.3499999940395355,0.0,0.0,0.0,0.0,0.6499999761581421,0.0
8,37883.12109375,994.5435791015625,0.21101678907871246,0.010059652850031853,39098.74111478031,0.03383302688598633,19.940029591787606,1.7003870010375977,0.19218769669532776,0.13159729540348053,0.0,0.0,0.0,0.36000001430511475,0.0,0.0,0.0,0.0,0.6399999856948853,0.0
9,41638.73046875,992.297607421875,0.1580645889043808,0.03886401280760765,42827.95667788386,0.03346705436706543,20.178294065309828,1.7010717391967773,0.1867661476135254,0.12695959210395813,0.0,0.0,0.0,0.3799999952316284,0.0,0.0,0.0,0.0,0.6200000047683716,0.0
10,39146.4296875,1013.0458374023438,0.12588241696357727,0.009621202014386654,40294.97914388031,0.03247880935668945,19.734187492271303,1.704205870628357,0.18419723212718964,0.12901559472084045,0.0,0.0,0.0,0.3799999952316284,0.0,0.0,0.0,0.0,0.6200000047683716,0.0
11,40733.3828125,998.630126953125,0.10486302524805069,1.6742644959322206e-07,41836.876132127625,0.032279014587402344,23.12060888048879,1.707390308380127,0.18371246755123138,0.13168005645275116,0.0,0.0,0.0,0.3799999952316284,0.0,0.0,0.0,0.0,0.6200000047683716,0.0
12,39669.51171875,993.17041015625,0.08981271833181381,9.325223800260574e-05,40752.58809947607,0.041735172271728516,20.708475970955867,1.7110234498977661,0.1808507889509201,0.12356272339820862,0.0,0.0,0.0,0.3799999952316284,0.0,0.0,0.0,0.0,0.6200000047683716,0.0
13,40630.5859375,968.493408203125,0.07870162278413773,0.0003455159312579781,41678.12648441852,0.032109975814819336,20.37097279451617,1.714491605758667,0.17861197888851166,0.11403539031744003,0.0,0.0,0.0,0.3799999952316284,0.0,0.0,0.0,0.0,0.6200000047683716,0.0
14,41576.4453125,1001.86474609375,0.06999769806861877,0.0005555588868446648,42648.86331554921,0.03297615051269531,24.686640068461884,1.7178128957748413,0.17726607620716095,0.10606233775615692,0.0,0.0,0.0,0.3799999952316284,0.0,0.0,0.0,0.0,0.6200000047683716,0.0
15,39387.70703125,992.64794921875,0.06309986114501953,0.0485682487487793,40492.02309036255,0.032330989837646484,26.811902833549404,1.7208037376403809,0.1772429645061493,0.10369550436735153,0.0,0.0,0.0,0.4000000059604645,0.0,0.0,0.0,0.0,0.6000000238418579,0.0
16,42257.2265625,983.3372802734375,0.057590506970882416,0.020353475585579872,43318.5078253299,0.03264307975769043,23.906810918866007,1.7230737209320068,0.17995738983154297,0.11099525541067123,0.0,0.0,0.0,0.4000000059604645,0.0,0.0,0.0,0.0,0.6000000238418579,0.0
17,39267.13671875,997.7096557617188,0.05311232805252075,0.05741092562675476,40375.369628190994,0.031944990158081055,23.624212826020994,1.7243391275405884,0.1868109107017517,0.10801979899406433,0.0,0.0,0.0,0.4000000059604645,0.0,0.0,0.0,0.0,0.6000000238418579,0.0
18,41307.41015625,976.7550048828125,0.04956718534231186,0.007915809750556946,42341.64815622568,0.031610965728759766,32.31399784501958,1.7243515253067017,0.19879969954490662,0.10027463734149933,0.0,0.0,0.0,0.4000000059604645,0.0,0.0,0.0,0.0,0.6000000238418579,0.0
19,41607.4375,1033.948486328125,0.046935126185417175,0.07853873074054718,42766.85984325409,0.04056406021118164,27.683500061769283,1.7248986959457397,0.21456314623355865,0.10786700993776321,0.0,0.0,0.0,0.4099999964237213,0.0,0.0,0.0,0.0,0.5899999737739563,0.0
